minute,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_red,p_away_red,p_home_penalty,p_away_penalty,p_home_corner,p_away_corner,p_var_review,p_any_injury,p_any_substitution,expected_home_possession,p_home_leading_after,p_draw_after,p_away_leading_after,expected_score_home_after,expected_score_away_after,most_likely_score_after
81,0.169455,0.161165,0.0613,0.06007,0.018025,0.017955,0.139995,0.123875,0.020585,0.018135,0.001205,0.00102,0.00237,0.002325,0.044805,0.039925,0.0062,0.00174,0.231705,0.5037910339581483,0.354445,0.29278,0.352775,1.208315,1.20311,1-1
82,0.169295,0.16284,0.06067,0.060625,0.017785,0.017905,0.138515,0.12393,0.0199,0.01809,0.00121,0.00099,0.00253,0.002395,0.04463,0.04018,0.00612,0.001665,0.219765,0.5037700839581483,0.355325,0.29121,0.353465,1.22614,1.221055,1-1
83,0.17052,0.162965,0.062245,0.05999,0.01789,0.0183,0.13861,0.123185,0.019765,0.018,0.001095,0.001125,0.00251,0.002275,0.044995,0.04117,0.00618,0.001805,0.203205,0.5037888339581483,0.3558,0.28978,0.35442,1.244055,1.239385,1-1
84,0.16903,0.160315,0.061595,0.058395,0.017685,0.017545,0.13869,0.12491,0.020325,0.017855,0.001395,0.001175,0.002625,0.002355,0.04534,0.03994,0.00623,0.00169,0.176595,0.5037761089581483,0.356845,0.287645,0.35551,1.261785,1.256965,1-1
85,0.168185,0.162485,0.062005,0.060475,0.01777,0.01825,0.139305,0.12415,0.020215,0.01811,0.00132,0.00097,0.00262,0.002595,0.04392,0.040545,0.00637,0.00167,0.14736,0.5037608839581482,0.357445,0.28623,0.356325,1.279605,1.27525,1-1
86,0.170545,0.16261,0.062585,0.060725,0.01865,0.01833,0.139955,0.123935,0.020815,0.01798,0.001115,0.00116,0.00261,0.00238,0.04495,0.040135,0.006335,0.00189,0.12003,0.5037513839581483,0.3584,0.284675,0.356925,1.29829,1.293615,1-1
87,0.17015,0.161305,0.062295,0.060785,0.018515,0.018445,0.1381,0.123685,0.019785,0.017755,0.001335,0.00122,0.002695,0.002395,0.044765,0.041545,0.006595,0.001955,0.09356,0.5037449589581483,0.35894,0.283565,0.357495,1.316855,1.31208,1-1
88,0.17008,0.16341,0.061705,0.060695,0.018665,0.018095,0.139565,0.124395,0.01998,0.018325,0.001275,0.00105,0.00252,0.002435,0.044145,0.04062,0.00622,0.00186,0.07349,0.5037084589581483,0.36001,0.28205,0.35794,1.33555,1.330225,1-1
89,0.17101,0.16269,0.06229,0.06018,0.01799,0.0181,0.14215,0.12433,0.020655,0.01824,0.00127,0.001165,0.002655,0.002635,0.045575,0.04095,0.00669,0.00192,0.00133,0.5037093339581483,0.36065,0.28055,0.3588,1.35357,1.34835,1-1
90,0.17067,0.16325,0.062005,0.060255,0.01828,0.01863,0.139405,0.123605,0.019885,0.017775,0.00131,0.00107,0.002585,0.00245,0.045215,0.04008,0.00639,0.002,0.00145,0.5037054589581483,0.361115,0.279285,0.3596,1.371885,1.36699,1-1
90+1,0.1871,0.179085,0.068355,0.066245,0.01968,0.020145,0.154945,0.13479,0.02251,0.019675,0.00147,0.00119,0.002795,0.00271,0.049435,0.045605,0.007025,0.00207,0.00145,0.5037000339581482,0.36152,0.27811,0.36037,1.391595,1.387155,1-1
90+2,0.186385,0.180225,0.067905,0.06679,0.01973,0.02025,0.15371,0.136385,0.021975,0.01945,0.00141,0.001265,0.00275,0.00256,0.04842,0.04513,0.007005,0.00194,0.001405,0.5036961868522429,0.362165,0.27666,0.361175,1.411355,1.407435,1-1
90+3,0.185445,0.178345,0.06791,0.06541,0.020085,0.01969,0.15276,0.136625,0.022185,0.019815,0.001355,0.0013,0.002995,0.00274,0.04932,0.044045,0.00699,0.001995,0.00146,0.503692961852243,0.362855,0.27527,0.361875,1.431485,1.42717,1-1
90+4,0.187145,0.180075,0.066845,0.066645,0.019685,0.020165,0.153025,0.137745,0.022625,0.020555,0.00152,0.001195,0.002895,0.002915,0.049315,0.04482,0.00721,0.002075,0.001485,0.503684961852243,0.36338,0.273845,0.362775,1.45119,1.44739,1-1
90+5,0.18822,0.17872,0.068605,0.065545,0.020135,0.019675,0.153615,0.135625,0.022625,0.01951,0.00142,0.00131,0.002875,0.002765,0.050235,0.04464,0.00692,0.00193,0.001435,0.5036736118522429,0.36433,0.272065,0.363605,1.471365,1.46713,1-1
