fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_bid_depth_1c,yes_bid_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_bid_depth_1c,no_bid_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891660,Spread: Argentina (-4.5),spreads,spread,Argentina (-4.5),Argentina,England,11208710509028131629835257433974006514475513393105115531078253558877480090228,21053106365632383072561384752323424021181523305545620264761869661264635585258,169935.94889,9003.070258,0.001,0.004,0.05,0.001,0.004,0.001,0.003,57.336099999999995,57.336099999999995,0.5516599999999999,0.5516599999999999,0.999,0.996,0.0030000000000000027,551.10834,551.10834,12305.3539,12305.3539
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891661,Spread: England (-5.5),spreads,spread,England (-5.5),England,Argentina,9409830600419933836979937406521505469608801868113322160646326140154383305272,107932567564955544353069236703937822038718426210749724058964162914974204253184,150320.7259,35438.389562000026,,0.002,0.05,0.001,0.002,,,64.97934,66.39334,0,0,,0.998,,0,0,16999.930659999998,17099.51666
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891662,Spread: Argentina (-5.5),spreads,spread,Argentina (-5.5),Argentina,England,29521955263941857895709614492179968714845714216585955794442958515803810007653,13002950257033149563348744888042900839119581569719957644373704949574079220745,167752.00688,13490.379274000012,0.001,0.003,0.05,0.001,0.003,0.001,0.002,25.7944,25.7944,0.005,0.005,0.999,0.997,0.0020000000000000018,4.995,4.995,6102.3556,6102.3556
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891663,England vs. Argentina: O/U 0.5,totals,totals,Total over 0.5,Over,Under,81181976116899441618303020508388929007094711029031483388433640289863009618793,62841982373761883089572556369893940843907698183832485787317683347197916274798,333511.727325,296429.1837929999,0.89,0.8925,0.05,0.0025,0.8925,0.89,0.0024999999999999467,112200.789475,169442.7205,77314.646875,94985.317825,0.11,0.1075,0.0025000000000000022,10051.853125,12621.792175,12842.290525,18657.3795
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891664,England vs. Argentina: O/U 1.5,totals,totals,Total over 1.5,Over,Under,43118594249845733633340709977853736893797877085036848423587259771830075889516,34722693297919059848905898968884829086904243244959579825508013056668468340666,938181.715525,762036.2998689973,0.6725,0.675,0.05,0.0025,0.675,0.6725,0.0025000000000000577,331037.45175,391340.262375,380711.20755,445580.59424999997,0.3275,0.325,0.0025000000000000022,186220.87245,219901.10575,158707.25825,185569.69762500003
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891665,England vs. Argentina: O/U 2.5,totals,totals,Total over 2.5,Over,Under,74195920481980850339833434858532868591496382001885653367714402955122956464009,14810140581269397419567001424139048025311397173553529273395121109049362886938,1703182.9716,2771429.5188289997,0.3925,0.395,0.05,0.0025,0.395,0.3925,0.0025000000000000022,494826.88214999996,507238.49035,398730.86960000003,439006.2055500001,0.6075,0.605,0.0025000000000000577,625547.0804000001,692587.9444500001,749245.3678499999,766983.9196499999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891666,England vs. Argentina: O/U 3.5,totals,totals,Total over 3.5,Over,Under,74527418458582480822261620327325996776349884696568477779653950974404498632202,105017023447190530900343787654832326956880150466448486978958536403289872840199,569419.4925,438127.91455700016,0.2125,0.215,0.05,0.0025,0.215,0.2125,0.0025000000000000022,85017.803225,91308.142525,21082.833,28387.501350000002,0.7875,0.785,0.0024999999999999467,79827.727,109511.64865,308419.816775,329347.63747500005
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891667,England vs. Argentina: O/U 4.5,totals,totals,Total over 4.5,Over,Under,945319595124573892303874255226449643421138945794757847949227688182013395302,74463191326945909901690373377838320218495506884741921508815977171064095462202,272937.123,120892.17111899998,0.095,0.0975,0.05,0.0025,0.0975,0.095,0.0025000000000000022,7364.186625,11442.09305,7098.946475,9259.8864,0.905,0.9025,0.0025000000000000577,73103.113525,98218.5136,66127.35337499999,97263.02695
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891668,England vs. Argentina: O/U 5.5,totals,totals,Total over 5.5,Over,Under,106800539355248757429830730164553812837862655514328906875045484900326619582958,21081236028515227130772718428769042623326523205945381043688713214769598158535,218522.79296,160233.58659599998,0.038,0.039,0.05,0.001,0.039,0.038,0.0010000000000000009,636.21101,1829.16275,2817.72595,3550.79215,0.962,0.961,0.0010000000000000009,82442.84404999999,115417.67785,24681.11554,43767.394309999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891669,England vs. Argentina: O/U 6.5,totals,totals,Total over 6.5,Over,Under,46874391339973167664943148354190062680603689890967009267156026566462843242064,58877458282703417403492304899174726280887218375749617245154768531905536567506,259043.19781,55012.96890200004,0.012,0.014,0.05,0.001,0.014,0.012,0.002,394.75858,1233.75858,295.7431,299.76905,0.988,0.986,0.0020000000000000018,39964.3611,43986.285149999996,17726.29378,45387.29378
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891670,England vs. Argentina: O/U 7.5,totals,totals,Total over 7.5,Over,Under,72504904419634050823484674959278299900916684760331125421711217495335287282577,69167743182559955031777936262258301157078752234386923417630340694219948449331,252899.68414,31157.715607,0.004,0.005,0.05,0.001,0.005,0.004,0.001,56.675450000000005,352.05545,106.16915,106.16915,0.996,0.995,0.0010000000000000009,68705.04085,68705.04085,7229.01455,21477.63455
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891671,England vs. Argentina: O/U 8.5,totals,totals,Total over 8.5,Over,Under,86250835501759404807781332110846029111899850165344745523986800539566241332418,85270617877003251433149398477915858003664622815015811137365932861229406631583,306953.25152,49110.50154000012,0.001,0.002,0.05,0.001,0.002,0.001,0.001,54.05291,310.48491,104.43074000000001,104.43074000000001,0.999,0.998,0.0010000000000000009,104326.30926000001,104326.30926000001,9897.36709,26737.13109
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891672,England vs. Argentina: Both Teams to Score,both_teams_to_score,btts,Both teams to score,Yes,No,59458073578322831545784967048379645202850050992392426394980623102028749472257,21100333839007645025394718381927656685104808547086827793277009445033323188735,1061578.3718,3172070.705129886,0.52,0.53,0.05,0.01,0.53,0.52,0.010000000000000009,496557.31059999997,560516.8821,220722.71970000002,258760.06970000002,0.48,0.47,0.010000000000000009,206315.8503,244353.2003,425807.11510000005,478137.67360000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891673,England vs. Argentina: Both Teams to Score in First Half,both_teams_to_score_first_half,btts,Both teams to score first half,Yes,No,94188026789518451015803544585218335301378391594213219307403510079534653955728,82859006948686634631347732743325288620870719479911899350541737843841699175,384442.419,81690.37346300004,0.18,0.19,0.05,0.01,0.19,0.18,0.010000000000000009,54913.71110000001,57240.51110000001,18284.1874,18450.3458,0.82,0.81,0.009999999999999898,88478.5226,89350.85419999999,221054.3489,229807.5489
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891674,England vs. Argentina: 1st Half O/U 0.5,first_half_totals,half_total,First half over 0.5,Over,Under,71747268641455118950006230479516786261146405971548224576601893915475061691279,77456328982896654227747737538290801718729195544464349863216139074807112606668,1035159.8731,36607.19436699998,0.62,0.63,0.05,0.01,0.63,0.62,0.010000000000000009,646196.4887,659507.5527,357546.4129,374250.3589,0.38,0.37,0.010000000000000009,227342.7471,238478.71110000001,365232.52129999996,372400.01729999995
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891675,England vs. Argentina: 1st Half O/U 1.5,first_half_totals,half_total,First half over 1.5,Over,Under,45582267922963887287115344486038000743102200213559540316946252804734094703649,33458165112468583186067662753755773253007648791087726723225592617524103226370,380998.3294,66684.70507400001,0.25,0.26,0.05,0.01,0.26,0.25,0.010000000000000009,19147.557500000003,27184.389100000004,63838.226899999994,67752.0058,0.75,0.74,0.010000000000000009,201628.1131,214730.7642,53643.322499999995,74309.4609
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891676,England vs. Argentina: 1st Half O/U 2.5,first_half_totals,half_total,First half over 2.5,Over,Under,59213890271801547041610514378867030181488897318780120967799104475161184767086,89383851119498667234024971237951093390638387563287213908274287751220582926763,309310.2094,11943.484382999997,0.07,0.08,0.05,0.01,0.08,0.07,0.009999999999999995,5450.6597,8962.8297,4406.4372,6998.0582,0.93,0.92,0.010000000000000009,61380.0228,110620.8218,60468.4103,92077.9403
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891677,England vs. Argentina: England O/U 0.5,soccer_team_totals,team_total,England over 0.5,Over,Under,16561062452486418891364938006667157273051610006355229886676242467868988522858,6575744915807422397679285810474176107042510157975732905983960402970939439933,423292.1359,54871.55172400007,0.71,0.72,0.05,0.01,0.72,0.71,0.010000000000000009,222743.0337,235855.1899,48050.9718,71403.732,0.29,0.28,0.009999999999999953,20002.5582,30494.378,83669.80630000001,88276.78010000002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891678,England vs. Argentina: England O/U 1.5,soccer_team_totals,team_total,England over 1.5,Over,Under,113283124378443256821772147757556043305824664018352778118580498349110707543149,42368330121820885588083306824757110822099240783661588735222251195712333152963,630794.7196,128531.93082199983,0.33,0.34,0.05,0.01,0.34,0.33,0.010000000000000009,144699.80889999997,155574.22449999998,14228.896799999999,20854.8864,0.67,0.66,0.010000000000000009,29852.103200000005,44600.2736,271707.1611,291039.4555
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891679,England vs. Argentina: England O/U 2.5,soccer_team_totals,team_total,England over 2.5,Over,Under,84608365842033111114630681642153846164641547535108350390414416304005557771169,95106893484257892237890576345940915444674783960716120820840771192494505433466,315987.1738,11545.082318000006,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,3032.0656,6604.2748,16098.896,17846.6924,0.89,0.88,0.010000000000000009,142713.874,160386.03759999998,20580.3144,42523.8852
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891680,England vs. Argentina: Argentina O/U 0.5,soccer_team_totals,team_total,Argentina over 0.5,Over,Under,92832255069103059256064674256039412537235727944896260614333278413807323563015,15910911080096650316628657283649337046819367241396715641251116515633003080809,500769.8668,43412.07201699995,0.69,0.7,0.05,0.01,0.7,0.69,0.010000000000000009,362640.8604,374845.5516,29825.6699,57422.1324,0.31,0.3,0.010000000000000009,15278.050100000002,28870.337600000003,151019.08959999998,155765.3584
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891681,England vs. Argentina: Argentina O/U 1.5,soccer_team_totals,team_total,Argentina over 1.5,Over,Under,82272585945602053476684781557820061190730220616293790468940586641792211779572,666658610028547354079473579294582556780948270660038221280898246467377920108,342927.996,149616.47854200003,0.3,0.31,0.05,0.01,0.31,0.3,0.010000000000000009,31468.3376,38380.775,16464.7366,25088.9242,0.7,0.69,0.010000000000000009,40011.583399999996,62188.0658,67307.9124,81342.255
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891682,England vs. Argentina: Argentina O/U 2.5,soccer_team_totals,team_total,Argentina over 2.5,Over,Under,96515394093226273524445691436239733674306366264722940082296189518851530307900,104372578611365800442704879713850660281434575256932641173775605147788681253230,391259.0421,19897.913656,0.09,0.1,0.05,0.01,0.1,0.09,0.010000000000000009,5243.7042,7341.615,6642.4415,7773.0542000000005,0.91,0.9,0.010000000000000009,73130.4885,88151.48580000001,42528.3958,57913.075000000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891683,England vs. Argentina: England 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,England first half over 0.5,Over,Under,77526126263108804808391760486193942126967192161266297971339673952632122113911,84092266742673947145635285759305834518506864534282492898063166624458439173743,277414.3595,25918.15186200001,0.4,0.41,0.05,0.01,0.41,0.4,0.009999999999999953,63719.90169999999,67722.31159999999,369.88000000000005,5055.3142,0.6,0.59,0.010000000000000009,572.27,8216.9258,90198.55829999999,95504.07839999998
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891684,England vs. Argentina: England 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,England first half over 1.5,Over,Under,27487523557706224190047425514329630296618615730601947451759944634052167672666,112992508611138908885407045065833841013441702733642198784488424112576796759473,99011.6651,10395.927185999999,0.08,0.09,0.05,0.01,0.09,0.08,0.009999999999999995,21.0062,55.3823,12.804,614.0039999999999,0.92,0.91,0.010000000000000009,169.396,9588.196,210.1738,488.30769999999995
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891685,England vs. Argentina: Argentina 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,Argentina first half over 0.5,Over,Under,45490818678589671823287925735784623487595733771184512208411495396896436718407,5621931345114947208087292752677791074964958704918484917797043110732213131571,142462.7063,2010.3324479999997,0.37,0.38,0.05,0.01,0.38,0.37,0.010000000000000009,9357.1034,15527.435400000002,2520.9686,3974.7565999999997,0.63,0.62,0.010000000000000009,4377.8114000000005,7077.7034,14802.3266,24057.8246
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891686,England vs. Argentina: Argentina 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,Argentina first half over 1.5,Over,Under,110327662349011550453242537232970940835356475217481393814354165672414520272258,13858566148311352342843254940392269005458969291822285808833141685115706665101,128704.6243,5999.7456619999975,0.07,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,89.98949999999999,278.1555,70.8288,123.6558,0.93,0.91,0.020000000000000018,995.0812000000001,1998.7942,860.1705,2382.6045
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891687,England vs. Argentina: Both Teams to Score in Second Half,both_teams_to_score_second_half,btts,Both teams to score second half,Yes,No,10164417472019520172498547784804753830625748915674119594974626361456374226791,35436364394090023456535502839525198644548789356594940931009438134007572106731,409033.0134,42355.925988999996,0.24,0.25,0.05,0.01,0.25,0.24,0.010000000000000009,90200.41400000002,90921.854,8163.9052,8979.6652,0.76,0.75,0.010000000000000009,26813.0748,29705.3148,259232.016,261182.576
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891688,England vs. Argentina: 2nd Half O/U 0.5,second_half_totals,half_total,Second half over 0.5,Over,Under,67135679830887607694829268220701272547694175687373324517962117885295121407495,31689649819161921986522492342270320206644654455758419395240821141864424410968,56846.4124,950.9714789999999,0.73,0.74,0.05,0.01,0.74,0.73,0.010000000000000009,201.7126,1852.2578,900.9306,5557.543699999999,0.27,0.26,0.010000000000000009,344.79940000000005,2246.7963,67.2774,588.5021999999999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891689,England vs. Argentina: 2nd Half O/U 1.5,second_half_totals,half_total,Second half over 1.5,Over,Under,37021195927973212609176408856486744218862160292541446302272018835646943535080,17865835101508745380381736006469929177788103924376194019771061619796311582752,425782.9697,5153.960628,0.38,0.39,0.05,0.01,0.39,0.38,0.010000000000000009,208477.7981,208831.5707,8920.4922,10232.958600000002,0.62,0.61,0.010000000000000009,15184.4278,17517.7014,312814.8219,313323.9093
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891690,England vs. Argentina: 2nd Half O/U 2.5,second_half_totals,half_total,Second half over 2.5,Over,Under,103659036489993713487048920946799740252801461130661394849552034510864550492685,98201780533502259977579243363099166193350023077964518299952552468574998748670,52958.2729,91.5,0.15,0.16,0.05,0.01,0.16,0.15,0.010000000000000009,593.1807,1348.8207,3.8,210.1581,0.85,0.84,0.010000000000000009,22.2,1403.2119,2908.3993,6391.7593
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891691,England vs. Argentina: England 2nd Half O/U 0.5,soccer_second_half_team_totals,half_team,England second half over 0.5,Over,Under,101074606422437481614240974175656365291006267561063541515112206708580414399665,34453668492757051076079763866348957366708081558591721293976760849466010853642,85533.962,883.2080960000001,0.5,0.53,0.05,0.01,0.53,0.51,0.020000000000000018,26112.747100000004,26662.747100000004,259.795,1456.3358,0.49,0.47,0.020000000000000018,259.59499999999997,1504.9742,23074.322899999996,23524.322899999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891692,England vs. Argentina: England 2nd Half O/U 1.5,soccer_second_half_team_totals,half_team,England second half over 1.5,Over,Under,47350680096650474634081816449017479267050715139410184918857304800265990123718,110982584633594302732826615712805272433787897274244648874153617555872924172192,32705.7857,669.260269,0.15,0.18,0.05,0.01,0.18,0.15,0.03,369.8145,369.8145,51.7685,90.74900000000001,0.85,0.82,0.030000000000000027,302.0215,562.891,1608.6155,1608.6155
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891693,England vs. Argentina: Argentina 2nd Half O/U 0.5,soccer_second_half_team_totals,half_team,Argentina second half over 0.5,Over,Under,54499100552973013173055831849633010208682991359605060341499368646106335882579,78066256601704169626569039673748054043151710286405060321393929070378954580471,84546.2087,1497.7863519999999,0.5,0.52,0.05,0.01,0.52,0.5,0.020000000000000018,3535.1965,3545.9964999999997,50.0301,352.16130000000004,0.5,0.48,0.020000000000000018,51.8299,379.13870000000003,3181.2635,3190.4635
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891694,England vs. Argentina: Argentina 2nd Half O/U 1.5,soccer_second_half_team_totals,half_team,Argentina second half over 1.5,Over,Under,88055291633516874482210051185495122603236931067589793699000353023884108851969,72096292285317036503161088711155428153316025231489127977059895851518501162487,37405.4368,341.25898299999994,0.13,0.16,0.05,0.01,0.15,0.13,0.01999999999999999,79.8212,80.3686,56.3756,58.5756,0.87,0.86,0.010000000000000009,391.10440000000006,408.9044,8.6,8.6
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891695,England vs. Argentina: Team to Advance,soccer_team_to_advance,advance,England to advance,England,Argentina,91458181621883013940102695027177858694251312846866974959991144943457909539098,36381558544198081581874507632628395248508497896159023038374000439706783759701,2277621.715925,7467751.279293258,0.5375,0.54,0.05,0.0025,0.54,0.5375,0.0025000000000000577,636885.431275,782241.8695,967283.557675,1138989.414275,0.4625,0.46,0.0025000000000000022,839464.3323250001,998853.5357250001,538149.403525,654803.9953000001
