fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891660,Spread: Argentina (-4.5),spreads,spread,Argentina (-4.5),Argentina,England,11208710509028131629835257433974006514475513393105115531078253558877480090228,21053106365632383072561384752323424021181523305545620264761869661264635585258,169935.94889,9003.070258,0.001,0.004,0.05,0.001,0.004,0.001,0.003,57.336099999999995,57.336099999999995,0.999,0.996,0.0030000000000000027,551.10834,551.10834
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891661,Spread: England (-5.5),spreads,spread,England (-5.5),England,Argentina,9409830600419933836979937406521505469608801868113322160646326140154383305272,107932567564955544353069236703937822038718426210749724058964162914974204253184,150320.7259,35438.389562000026,,0.002,0.05,0.001,0.002,,,64.97934,66.39334,,0.998,,0,0
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891662,Spread: Argentina (-5.5),spreads,spread,Argentina (-5.5),Argentina,England,29521955263941857895709614492179968714845714216585955794442958515803810007653,13002950257033149563348744888042900839119581569719957644373704949574079220745,167752.00688,13490.379274000012,0.001,0.003,0.05,0.001,0.003,0.001,0.002,25.7944,25.7944,0.999,0.997,0.0020000000000000018,4.995,4.995
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891663,England vs. Argentina: O/U 0.5,totals,totals,Total over 0.5,Over,Under,81181976116899441618303020508388929007094711029031483388433640289863009618793,62841982373761883089572556369893940843907698183832485787317683347197916274798,333511.727325,296429.1837929999,0.89,0.8925,0.05,0.0025,0.8925,0.89,0.0024999999999999467,112210.805725,183065.23675,0.11,0.1075,0.0025000000000000022,10106.15385,12676.0929
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891664,England vs. Argentina: O/U 1.5,totals,totals,Total over 1.5,Over,Under,43118594249845733633340709977853736893797877085036848423587259771830075889516,34722693297919059848905898968884829086904243244959579825508013056668468340666,938181.715525,762036.2998689973,0.6725,0.675,0.05,0.0025,0.675,0.6725,0.0025000000000000577,352073.9551000001,412376.76572500006,0.3275,0.325,0.0025000000000000022,186161.52245000002,219515.76415000003
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891665,England vs. Argentina: O/U 2.5,totals,totals,Total over 2.5,Over,Under,74195920481980850339833434858532868591496382001885653367714402955122956464009,14810140581269397419567001424139048025311397173553529273395121109049362886938,1703182.9716,2771429.5188289997,0.3925,0.395,0.05,0.0025,0.395,0.3925,0.0025000000000000022,564151.7888249999,576231.916125,0.6075,0.605,0.0025000000000000577,577395.31465,645111.46645
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891666,England vs. Argentina: O/U 3.5,totals,totals,Total over 3.5,Over,Under,74527418458582480822261620327325996776349884696568477779653950974404498632202,105017023447190530900343787654832326956880150466448486978958536403289872840199,569419.4925,438127.91455700016,0.2125,0.215,0.05,0.0025,0.215,0.2125,0.0025000000000000022,84948.277725,91238.617025,0.7875,0.785,0.0024999999999999467,85807.47962499999,109298.601275
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891667,England vs. Argentina: O/U 4.5,totals,totals,Total over 4.5,Over,Under,945319595124573892303874255226449643421138945794757847949227688182013395302,74463191326945909901690373377838320218495506884741921508815977171064095462202,272937.123,120892.17111899998,0.095,0.0975,0.05,0.0025,0.0975,0.095,0.0025000000000000022,7362.817725,11445.674149999999,0.905,0.9025,0.0025000000000000577,73107.964325,95448.3644
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891668,England vs. Argentina: O/U 5.5,totals,totals,Total over 5.5,Over,Under,106800539355248757429830730164553812837862655514328906875045484900326619582958,21081236028515227130772718428769042623326523205945381043688713214769598158535,218522.79296,160233.58659599998,0.038,0.039,0.05,0.001,0.039,0.038,0.0010000000000000009,1164.30946,2912.56119,0.962,0.961,0.0010000000000000009,82483.11104999999,119909.18325
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891669,England vs. Argentina: O/U 6.5,totals,totals,Total over 6.5,Over,Under,46874391339973167664943148354190062680603689890967009267156026566462843242064,58877458282703417403492304899174726280887218375749617245154768531905536567506,259043.19781,55012.96890200004,0.012,0.014,0.05,0.001,0.014,0.012,0.002,398.8607,1237.8607,0.988,0.986,0.0020000000000000018,40229.2491,44251.17315
