fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891660,Spread: Argentina (-4.5),spreads,spread,Argentina (-4.5),Argentina,England,11208710509028131629835257433974006514475513393105115531078253558877480090228,21053106365632383072561384752323424021181523305545620264761869661264635585258,170178.45325,9003.070258,0.001,0.004,0.05,0.001,0.004,0.001,0.003,57.336099999999995,57.336099999999995,37.867599999999996,0.5516599999999999,0.5516599999999999,0.5516599999999999,0.999,0.996,0.0030000000000000027,551.10834,551.10834,551.10834,12305.3539,12305.3539,9429.0324
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891661,Spread: England (-5.5),spreads,spread,England (-5.5),England,Argentina,9409830600419933836979937406521505469608801868113322160646326140154383305272,107932567564955544353069236703937822038718426210749724058964162914974204253184,148314.6905,35438.389562000026,,0.002,0.05,0.001,0.002,,,64.97934,66.39334,1.1096,0,0,0,,0.998,,0,0,0,16999.930659999998,17099.51666,553.6904
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891662,Spread: Argentina (-5.5),spreads,spread,Argentina (-5.5),Argentina,England,29521955263941857895709614492179968714845714216585955794442958515803810007653,13002950257033149563348744888042900839119581569719957644373704949574079220745,167803.55808,13490.379274000012,0.001,0.003,0.05,0.001,0.003,0.001,0.002,25.7944,25.7944,9.56622,0.005,0.005,0.005,0.999,0.997,0.0020000000000000018,4.995,4.995,4.995,6102.3556,6102.3556,3179.1737799999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891663,England vs. Argentina: O/U 0.5,totals,totals,Total over 0.5,Over,Under,81181976116899441618303020508388929007094711029031483388433640289863009618793,62841982373761883089572556369893940843907698183832485787317683347197916274798,331038.366375,303987.9949019998,0.89,0.8925,0.05,0.0025,0.8925,0.89,0.0024999999999999467,106289.43982500001,168093.84585,156.1875,85447.530375,94054.163425,10762.4496,0.11,0.1075,0.0025000000000000022,11055.339625,12299.646575,1330.1904,12145.500175,18398.11415,18.8125
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891664,England vs. Argentina: O/U 1.5,totals,totals,Total over 1.5,Over,Under,43118594249845733633340709977853736893797877085036848423587259771830075889516,34722693297919059848905898968884829086904243244959579825508013056668468340666,936562.05065,768340.2064939974,0.6725,0.675,0.05,0.0025,0.675,0.6725,0.0025000000000000577,356401.0385,409803.84912500007,267073.67925000004,367615.04915000004,475545.726425,312906.30105,0.3275,0.325,0.0025000000000000022,179814.59085,236435.05357500003,152381.87895,170473.9815,194236.420875,128591.03075
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891665,England vs. Argentina: O/U 2.5,totals,totals,Total over 2.5,Over,Under,74195920481980850339833434858532868591496382001885653367714402955122956464009,14810140581269397419567001424139048025311397173553529273395121109049362886938,1483587.235325,2775822.4494960005,0.3925,0.395,0.05,0.0025,0.395,0.3925,0.0025000000000000022,516585.57370000007,532303.1080000001,225548.23110000003,398440.29675000004,436011.08995,137412.7271,0.6075,0.605,0.0025000000000000577,625115.23325,687755.27005,212683.3929,781506.4463000001,804063.282,345459.9489
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891666,England vs. Argentina: O/U 3.5,totals,totals,Total over 3.5,Over,Under,74527418458582480822261620327325996776349884696568477779653950974404498632202,105017023447190530900343787654832326956880150466448486978958536403289872840199,558593.32005,439251.04793400015,0.2125,0.215,0.05,0.0025,0.215,0.2125,0.0025000000000000022,72179.799425,76045.173825,58957.921350000004,21233.65785,26516.1282,7358.377750000001,0.7875,0.785,0.0024999999999999467,79924.16215,101450.5418,27269.28225,262464.000575,275382.156175,215264.96865000002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891667,England vs. Argentina: O/U 4.5,totals,totals,Total over 4.5,Over,Under,945319595124573892303874255226449643421138945794757847949227688182013395302,74463191326945909901690373377838320218495506884741921508815977171064095462202,274223.40795,120962.40201899997,0.095,0.0975,0.05,0.0025,0.1,0.0975,0.0025000000000000022,5342.8444,8269.799025,3232.139,6441.109125,8415.646499999999,97.5,0.9025,0.9,0.0024999999999999467,65533.94087499999,87506.7635,902.5,46958.9456,68989.440975,29089.251
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891668,England vs. Argentina: O/U 5.5,totals,totals,Total over 5.5,Over,Under,106800539355248757429830730164553812837862655514328906875045484900326619582958,21081236028515227130772718428769042623326523205945381043688713214769598158535,226133.82486,160233.58659599998,0.038,0.039,0.05,0.001,0.039,0.038,0.0010000000000000009,693.51829,1215.7195199999999,179.79896999999997,2785.72595,3338.79215,345.21328,0.962,0.961,0.0010000000000000009,90194.84405,123169.67785,8739.34672,25194.27671,44050.20548,4430.43103
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891669,England vs. Argentina: O/U 6.5,totals,totals,Total over 6.5,Over,Under,46874391339973167664943148354190062680603689890967009267156026566462843242064,58877458282703417403492304899174726280887218375749617245154768531905536567506,231318.20403,55757.59866200003,0.012,0.014,0.05,0.001,0.014,0.012,0.002,142.75858,317.25858,37.10504,279.73036,283.75631,68.5164,0.988,0.986,0.0020000000000000018,30997.08964,35019.01369,5641.183599999999,8019.35142,14644.85142,2613.25496
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891670,England vs. Argentina: O/U 7.5,totals,totals,Total over 7.5,Over,Under,72504904419634050823484674959278299900916684760331125421711217495335287282577,69167743182559955031777936262258301157078752234386923417630340694219948449331,241361.50944,31160.727606999997,0.004,0.005,0.05,0.001,0.005,0.004,0.001,55.675450000000005,56.55545000000001,3.4334500000000006,106.16915,106.16915,7.1359200000000005,0.996,0.995,0.0010000000000000009,68705.04085,68705.04085,1776.84408,7030.01455,7073.13455,683.2565500000001
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891671,England vs. Argentina: O/U 8.5,totals,totals,Total over 8.5,Over,Under,86250835501759404807781332110846029111899850165344745523986800539566241332418,85270617877003251433149398477915858003664622815015811137365932861229406631583,284690.76159,49789.92254000014,0.001,0.002,0.05,0.001,0.002,0.001,0.001,42.12417,86.55617,2.44978,104.14846000000001,104.14846000000001,104.14846000000001,0.999,0.998,0.0010000000000000009,104044.31154000001,104044.31154000001,104044.31154000001,8844.92583,11942.49383,1222.4402200000002
