fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14,France vs. Spain,8312332.1214,2678944.8585829814,2879968,Will France win on 2026-07-14?,moneyline,main_90m,France win,Yes,No,25312457392074064866955638920139332428292497556441446372623464789018436410183,114008288197553961583518307739897802587067075299935011621746237390478872496575,3166414.3993,2366670.790283982,0.41,0.42,0.05,0.01,0.42,0.41,0.010000000000000009,1224303.9226,1593539.7962,0.59,0.58,0.010000000000000009,980878.6224,1089704.6293
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14,France vs. Spain,8312332.1214,2678944.8585829814,2879969,Will France vs. Spain end in a draw?,moneyline,main_90m,Draw,Yes,No,21567767812902912757274126429598305388508024829091384968631705245381739645667,83785114880562288951559015996987718979440142886963020085739232032042142573237,3176062.4261,94136.78863099957,0.29,0.3,0.05,0.01,0.3,0.29,0.010000000000000009,728397.9491999999,1006940.9539999999,0.71,0.7,0.010000000000000009,1250294.9227,1275243.7166
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14,France vs. Spain,8312332.1214,2678944.8585829814,2879970,Will Spain win on 2026-07-14?,moneyline,main_90m,Spain win,Yes,No,59701348329688999702254197580644416038122802547584947510322394691994999642374,10599395016438602184925717578457495249428835750796884674858868309758379762761,1970459.8803,219545.88585999946,0.28,0.29,0.05,0.01,0.29,0.28,0.009999999999999953,216862.4392,493663.231,0.72,0.71,0.010000000000000009,1110594.8177999998,1366239.2138
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880275,Spread: France (-1.5),spreads,spread,France (-1.5),France,Spain,19135173168632231798604448839275169825236203099052305345847312181486048715132,91471879708358590694865085302185675514392361510947725767343142242806402567508,230287.4393,125121.05691100005,0.19,0.2,0.05,0.01,0.2,0.19,0.010000000000000009,15856.560200000002,19357.9284,0.81,0.8,0.010000000000000009,44356.72670000001,60795.9723
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880276,Spread: Spain (-1.5),spreads,spread,Spain (-1.5),Spain,France,40623375375347445562845619891828800649578505088228629014330514725147817988700,106906313287170293201122737554454743657374650410263936547197137801182395880303,181232.0424,13693.181181999998,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,7117.5078,10418.423600000002,0.89,0.88,0.010000000000000009,58242.4973,87545.43460000001
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880277,Spread: France (-2.5),spreads,spread,France (-2.5),France,Spain,99407291667128120563791987704671824957825652923239804914263400029824401354012,53334258089943026207789268877099108736270020050399901280829381093136916295399,182944.7682,9407.566717000002,0.06,0.08,0.05,0.01,0.07,0.06,0.010000000000000009,4553.0412,5848.8027,0.94,0.93,0.009999999999999898,67249.6228,75038.7172
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880278,Spread: Spain (-2.5),spreads,spread,Spain (-2.5),Spain,France,96119305244904515737801070886017857832026166378609645149636532919347595885963,89041637691860292781096516376675856826998854753980074674632447574744878001507,131716.01351,37143.72554699999,0.032,0.033,0.05,0.001,0.033,0.032,0.0010000000000000009,842.96663,1013.1985900000001,0.968,0.967,0.0010000000000000009,62826.548619999994,72836.40499
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880279,Spread: France (-3.5),spreads,spread,France (-3.5),France,Spain,38657634383130862183033830230356012889372622219772108250592504108184150084047,16467393949303651470579610720523228285692998179602996950107508463837699068640,118998.39621,6142.721468,0.025,0.029,0.05,0.001,0.029,0.025,0.004,321.29996,325.35996,0.975,0.971,0.0040000000000000036,10006.97175,19455.452839999998
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880280,Spread: Spain (-3.5),spreads,spread,Spain (-3.5),Spain,France,19834565310386850609228357926927997868506432921693993221436936089806820905818,81663992544879528494514824698435738173151981155806404327977077122814629004499,114347.37943,9370.325911,0.009,0.01,0.05,0.001,0.01,0.009,0.0010000000000000009,113.57454,135.32453999999998,0.991,0.99,0.0010000000000000009,15547.56469,15547.56469
fifwc-fra-esp-2026-07-14,France,Spain,fifwc-fra-esp-2026-07-14-more-markets,France vs. Spain - More Markets,11198288.64017,4541626.880219949,2880281,Spread: France (-4.5),spreads,spread,France (-4.5),France,Spain,25548881311210965724118440185317434128449996219025614087059734108576694094931,11481085419732826778694664138434093102379494712504813630142677806128205730923,111079.72717,2284.6709659999997,0.006,0.009,0.05,0.001,0.009,0.006,0.002999999999999999,38.42028,38.550279999999994,0.994,0.991,0.0030000000000000027,10278.75881,10278.75881
