fixture_id,home,away,kickoff_beijing,hours_to_kickoff,early_regime,group,contract,side,model_probability,conservative_probability,ask,bid,spread,fee_per_share,depth_within_1c_usd,market_volume,liquidity_grade,central_net_edge,robust_edge,max_entry_for_5pp,recommended_amount_10k,decision
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,btts,Both teams to score first half,NO,0.865847,0.830617,0.82,0.81,0.01,0.00738,95107.36,75339.6,A,0.038467,-0.011763,0.7564,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,First half over 0.5,NO,0.401437,0.343571,0.38,0.37,0.01,0.01178,227703.06,36557.68,A,0.009657,-0.088209,0.2443,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,First half over 1.5,NO,0.76783,0.710629,0.75,0.74,0.01,0.009375,51749.47,66614.1,A,0.008455,-0.088746,0.6087,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,First half over 2.5,NO,0.935035,0.906705,0.93,0.92,0.01,0.003255,57465.39,11089.14,A,0.00178,-0.06655,0.8089,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,England over 0.5,NO,0.301155,0.228041,0.29,0.28,0.01,0.010295,20457.15,53931.02,A,0.00086,-0.087254,0.1564,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,England over 1.5,YES,0.338799,0.238963,0.34,0.33,0.01,0.01122,143312.93,120432.93,A,-0.012421,-0.127257,0.167,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,England over 2.5,YES,0.121365,0.068032,0.12,0.11,0.01,0.00528,3376.36,11536.75,B,-0.003915,-0.072248,0.0028,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,Argentina over 0.5,NO,0.319852,0.242916,0.31,0.3,0.01,0.010695,19308.62,42452.91,A,-0.000843,-0.092779,0.1708,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,Argentina over 1.5,YES,0.314257,0.216655,0.31,0.3,0.01,0.010695,29155.0,147784.73,A,-0.006438,-0.11904,0.1454,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,team_total,Argentina over 2.5,YES,0.107007,0.057937,0.1,0.09,0.01,0.0045,2717.84,19759.91,B,0.002507,-0.061563,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,England first half over 0.5,NO,0.625573,0.556127,0.6,0.59,0.01,0.012,572.27,25918.15,C,0.013573,-0.095873,0.4537,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,England first half over 1.5,NO,0.919021,0.88244,0.92,0.91,0.01,0.00368,169.4,10273.7,D,-0.004659,-0.08124,0.7839,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,Argentina first half over 0.5,NO,0.641711,0.572096,0.63,0.62,0.01,0.011655,3737.81,1991.91,B,5.6e-05,-0.109559,0.4696,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,Argentina first half over 1.5,NO,0.926385,0.891582,0.93,0.91,0.02,0.003255,1020.06,5628.33,C,-0.00687,-0.081673,0.7933,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,btts,Both teams to score second half,YES,0.260122,0.197864,0.25,0.24,0.01,0.009375,90336.01,42326.09,A,0.000747,-0.076511,0.1273,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,Second half over 0.5,YES,0.760107,0.694383,0.74,0.73,0.01,0.00962,14.79,950.97,D,0.010487,-0.095237,0.5923,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,Second half over 1.5,YES,0.417645,0.332098,0.39,0.38,0.01,0.011895,73892.54,5153.96,A,0.01575,-0.109797,0.2331,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_total,Second half over 2.5,YES,0.173202,0.117367,0.16,0.15,0.01,0.00672,783.05,72.75,C,0.006482,-0.089353,0.026,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,England second half over 0.5,NO,0.480128,0.399417,0.49,0.47,0.02,0.012495,263.25,865.96,D,-0.022367,-0.143078,0.2989,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,England second half over 1.5,YES,0.167601,0.112559,0.18,0.15,0.03,0.00738,369.81,669.26,D,-0.019779,-0.114821,0.0215,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,Argentina second half over 0.5,YES,0.500357,0.414609,0.5,0.49,0.01,0.0125,2.5,1493.79,D,-0.012143,-0.137891,0.3138,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,half_team,Argentina second half over 1.5,YES,0.153674,0.101147,0.16,0.13,0.03,0.00672,95.46,335.38,D,-0.013046,-0.105573,0.0106,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,advance,England to advance,NO,0.474968,0.39091,0.4625,0.46,0.0025,0.01243,863082.04,7296095.63,A,3.8e-05,-0.124019,0.2906,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,extra_time,Match goes to extra time,NO,0.67987,0.648512,0.67,0.66,0.01,0.011055,11980.6,17606.53,A,-0.001185,-0.072543,0.5461,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,extra_time,Match goes to penalties,YES,0.185676,0.167438,0.19,0.18,0.01,0.007695,134.0,36921.96,D,-0.012019,-0.070257,0.074,0.0,PASS
