team,metric,weighted_value
England,phase_build_up_unopposed,34.7769081178946
England,phase_build_up_opposed,13.991974217268034
England,phase_progression,17.196434637152716
England,phase_final_third,17.72378618247717
England,phase_long_ball,3.709755857292007
England,phase_attacking_transition,10.741909391823908
England,phase_counter_attack,1.0409899720388074
England,phase_set_piece,5.589534501248814
England,phase_high_press,7.7439769850493665
England,phase_mid_press,3.3756287351121004
England,phase_low_press,0.1367105512616902
England,phase_high_block,4.89675736690488
England,phase_mid_block,14.24764312679532
England,phase_low_block,21.32202163706596
England,phase_recovery,5.198776803705321
England,phase_defensive_transition,14.382456455283581
England,phase_counter_press,9.944688604729823
Argentina,phase_build_up_unopposed,39.34129056362736
Argentina,phase_build_up_opposed,18.709708399366587
Argentina,phase_progression,12.017480483481595
Argentina,phase_final_third,16.008338797410673
Argentina,phase_long_ball,1.661035471002416
Argentina,phase_attacking_transition,8.02715593637121
Argentina,phase_counter_attack,0.8289277275682251
Argentina,phase_set_piece,4.110275946225677
Argentina,phase_high_press,5.200612389286949
Argentina,phase_mid_press,4.001124387905625
Argentina,phase_low_press,0.5604366960017033
Argentina,phase_high_block,4.268550913814076
Argentina,phase_mid_block,17.915486713545356
Argentina,phase_low_block,21.238100941744516
Argentina,phase_recovery,3.003715747311299
Argentina,phase_defensive_transition,11.656354028138564
Argentina,phase_counter_press,8.437989269279456
