report,date,team,player,role,duration_match,passes_attempted,passes_completed,pass_completion_pct,switches,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts,goals,minutes,starter,attempts_per90,goals_per90,passes_attempted_per90,passes_completed_per90,crosses_attempted_per90,line_breaks_completed_per90,ball_progressions_per90,take_ons_per90,step_ins_per90
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Emiliano Martínez,GK,120,45,29,64,0,0,0,25,10,40,0,0,0,0,0,120,True,0.0,0.0,33.75,21.75,0.0,7.5,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nicolás Tagliafico,DEF,120,25,21,84,0,0,0,6,3,50,0,0,0,0,0,78,True,0.0,0.0,28.846153846153847,24.23076923076923,0.0,3.4615384615384617,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Leandro Paredes,MID,120,118,111,94,1,0,0,18,18,100,1,0,1,0,0,120,True,0.0,0.0,88.5,83.25,0.0,13.5,0.75,0.0,0.75
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lisandro Martínez,DEF,120,76,66,87,0,1,0,19,12,63,4,2,2,2,0,120,True,1.5,0.0,57.0,49.5,0.75,9.0,3.0,1.5,1.5
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Rodrigo De Paul,MID,120,35,32,91,0,1,0,6,5,83,1,0,1,0,0,85,True,0.0,0.0,37.05882352941177,33.88235294117647,1.0588235294117647,5.294117647058823,1.0588235294117647,0.0,1.0588235294117647
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Julián Alvarez,FWD,120,45,40,89,0,0,0,8,6,75,1,1,0,3,1,120,True,2.25,0.75,33.75,30.0,0.0,4.5,0.75,0.75,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lionel Messi,FWD,120,75,62,83,1,6,4,20,12,60,8,3,5,4,0,120,True,3.0,0.0,56.25,46.5,4.5,9.0,6.0,2.25,3.75
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Cristian Romero,DEF,120,43,41,95,0,0,0,10,9,90,0,0,0,1,0,120,True,0.75,0.0,32.25,30.75,0.0,6.75,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Alexis Mac Allister,MID,120,54,51,94,1,1,0,5,5,100,1,1,0,4,1,120,True,3.0,0.75,40.5,38.25,0.75,3.75,0.75,0.75,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Enzo Fernández,MID,120,65,61,94,1,2,1,7,6,86,1,1,0,0,0,90,True,0.0,0.0,65.0,61.0,2.0,6.0,1.0,1.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nahuel Molina,DEF,120,38,31,82,0,1,0,11,6,55,0,0,0,1,0,85,True,1.0588235294117647,0.0,40.23529411764706,32.8235294117647,1.0588235294117647,6.352941176470588,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Gonzalo Montiel,DEF,120,22,17,77,0,1,0,2,1,50,0,0,0,0,0,35,False,0.0,0.0,56.57142857142857,43.714285714285715,2.5714285714285716,2.5714285714285716,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nico Gonzalez,FWD,120,31,27,87,0,2,2,2,0,0,2,2,0,2,0,42,False,4.285714285714286,0.0,66.42857142857143,57.857142857142854,4.285714285714286,0.0,4.285714285714286,4.285714285714286,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Thiago Almada,FWD,120,28,26,93,1,1,0,5,5,100,1,1,0,3,0,30,False,9.0,0.0,84.0,78.0,3.0,15.0,3.0,3.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lautaro Martínez,FWD,120,7,6,86,0,0,0,0,0,0,1,1,0,2,1,35,False,5.142857142857143,2.5714285714285716,18.0,15.428571428571429,0.0,0.0,2.5714285714285716,2.5714285714285716,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Emiliano Martínez,GK,90,41,31,76,0,0,0,16,8,50,0,0,0,0,0,90,True,0.0,0.0,41.0,31.0,0.0,8.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Gonzalo Montiel,DEF,90,22,20,91,0,0,0,4,3,75,0,0,0,0,0,45,True,0.0,0.0,44.0,40.0,0.0,6.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Lisandro Martínez,DEF,90,67,64,96,0,0,0,14,13,93,0,0,0,0,0,90,True,0.0,0.0,67.0,64.0,0.0,13.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Rodrigo De Paul,MID,90,54,49,91,0,1,0,9,6,67,3,2,1,0,0,90,True,0.0,0.0,54.0,49.0,1.0,6.0,3.0,2.0,1.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Lionel Messi,FWD,90,40,30,75,1,2,1,15,12,80,4,4,0,6,3,90,True,6.0,3.0,40.0,30.0,2.0,12.0,4.0,4.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Cristian Romero,DEF,90,66,65,98,0,0,0,14,13,93,1,0,1,0,0,90,True,0.0,0.0,66.0,65.0,0.0,13.0,1.0,0.0,1.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Thiago Almada,FWD,90,33,30,91,0,0,0,6,4,67,1,0,1,1,0,55,True,1.6363636363636365,0.0,54.0,49.09090909090909,0.0,6.545454545454546,1.6363636363636365,0.0,1.6363636363636365
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Alexis Mac Allister,MID,90,65,62,95,1,0,0,11,10,91,0,0,0,2,0,90,True,2.0,0.0,65.0,62.0,0.0,10.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Lautaro Martínez,FWD,90,15,12,80,0,0,0,1,1,100,1,1,0,1,0,55,True,1.6363636363636365,0.0,24.545454545454547,19.636363636363637,0.0,1.6363636363636365,1.6363636363636365,1.6363636363636365,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Enzo Fernández,MID,90,69,65,94,1,0,0,16,15,94,5,3,2,0,0,90,True,0.0,0.0,69.0,65.0,0.0,15.0,5.0,3.0,2.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Facundo Medina,DEF,90,36,35,97,0,1,0,7,7,100,0,0,0,0,0,90,True,0.0,0.0,36.0,35.0,1.0,7.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Julián Alvarez,FWD,90,10,8,80,0,0,0,0,0,0,0,0,0,0,0,35,False,0.0,0.0,25.714285714285715,20.571428571428573,0.0,0.0,0.0,0.0,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Nico Gonzalez,FWD,90,11,10,91,0,1,0,1,0,0,2,2,0,0,0,35,False,0.0,0.0,28.285714285714285,25.714285714285715,2.5714285714285716,0.0,5.142857142857143,5.142857142857143,0.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Nahuel Molina,DEF,90,29,19,66,0,0,0,10,3,30,1,1,0,0,0,45,False,0.0,0.0,58.0,38.0,0.0,6.0,2.0,2.0,0.0
