minute,conditional_on_extra_time,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_leading_after_et_minute,p_et_still_tied_after_minute,p_away_leading_after_et_minute
91,True,0.11414551669637771,0.10927535699189532,0.03995368753790454,0.03848345064598534,0.010126256593093562,0.010071122709646592,0.009960854942752652,0.9801334239979417,0.009905721059305681
92,True,0.11480712329774134,0.108007277672615,0.04043151452777829,0.03758293054968482,0.010934886883649127,0.00999761086505063,0.020454670758826017,0.9599728006174995,0.01957252862367449
93,True,0.11500928087038025,0.11126017679598625,0.04057853821697021,0.03975152996526565,0.010806241155606197,0.011045154650543069,0.030360391818131695,0.9397202874313124,0.029919320750555933
94,True,0.11506441475382721,0.11206880708654182,0.03984341977101061,0.03874074210207119,0.010401926010328414,0.00983220921470972,0.039622884237222725,0.9215812397772591,0.03879587598551817
95,True,0.11287743737709738,0.11069046000036756,0.038777498024369174,0.03921856909194494,0.010034366787348611,0.010714351349861246,0.04840754966644001,0.9033870582397588,0.04820539209380111
96,True,0.11315310679433224,0.10958778233142816,0.039586128314924744,0.03787697792806866,0.010254902321136494,0.009887343098156691,0.05704519140646536,0.88644257806039,0.05651223053314465
97,True,0.11484387922003933,0.10969805009832209,0.03988017569330858,0.03921856909194494,0.010604083582967305,0.010457059893775385,0.0657379670299377,0.8692408064249352,0.06502122654512708
98,True,0.11342877621156709,0.11291419329939537,0.040008821421351516,0.03940234870343484,0.010236524359987504,0.010144634554242552,0.07415507323617518,0.8526638854685461,0.0731810412952787
99,True,0.11175638174700898,0.10953264844798118,0.03782184404462169,0.038538584529432304,0.00981383125356073,0.010291658243434473,0.08145112381232426,0.8378880047047581,0.08066087148291769
100,True,0.11717788028596107,0.10975318398176906,0.03903478948045504,0.038648852296326246,0.010071122709646592,0.010310036204583463,0.08905959972800617,0.8228548324848841,0.0880855677871097
101,True,0.11706761251906714,0.10774998621652913,0.038336426956793415,0.0374175288993439,0.010236524359987504,0.00999761086505063,0.09688861117747596,0.8076195026923713,0.09549188613015272
102,True,0.11466009960854942,0.11309797291088526,0.03901641151930605,0.03883263190781615,0.010089500670795582,0.01130244610662893,0.10422141767592304,0.7919063459099848,0.10387223641409223
103,True,0.11403524892948376,0.11008398728245089,0.038851009868965135,0.038575340451730285,0.010328414165732453,0.010622461544116295,0.11168286990241302,0.7769650634958558,0.1113520666017312
104,True,0.11412713873522871,0.11306121698858729,0.039733152004116666,0.04008233326594748,0.00997923290390164,0.011026776689394079,0.11831731387719846,0.7628691672945803,0.11881351882822119
105,True,0.11477036737544337,0.11239961038722364,0.0394758605480308,0.037950489772664624,0.01113704445628802,0.00977707533126275,0.1253009391138147,0.7496370352673074,0.12506202561887783
106,True,0.145241026960469,0.1398562843438149,0.05153180306176833,0.04976751879146527,0.013324021833017846,0.013452667561060776,0.1337364232812012,0.7320677044088729,0.13419587230992594
107,True,0.14509400327127708,0.13950710308198408,0.04973076286916729,0.04932644772388951,0.013562935327954717,0.012827816881995111,0.14182272618675684,0.7162626578207414,0.1419146159925018
108,True,0.1439545696800397,0.14103247385735027,0.049473471413081435,0.04864646316137688,0.013415911638762795,0.013599691250252698,0.1500928087038024,0.6999246503592892,0.14998254093690847
109,True,0.14713395695881498,0.14018708764449672,0.05279988238104864,0.04932644772388951,0.013599691250252698,0.012993218532336023,0.15748074908569643,0.6861963133809935,0.15632293753331006
110,True,0.1474831382206458,0.1405546468674765,0.05022696782019003,0.04739676180324555,0.011798651057651665,0.012717549115101172,0.16282873578005255,0.674177126789554,0.16299413743039348
111,True,0.14492860162093618,0.14143678900262804,0.05116424383878852,0.04917942403469759,0.012901328726591072,0.013673203094848657,0.1692242662599011,0.6605406796170032,0.17023505412309559
112,True,0.14592101152298165,0.14158381269181997,0.05125613364453348,0.048223770054950106,0.012919706687740062,0.013085108338080973,0.17550952897285574,0.6478966423464981,0.17659382868064616
113,True,0.14404645948578465,0.1417308363810119,0.048628085200227884,0.05017183393674306,0.012441879697866318,0.013967250473232499,0.18054509032767904,0.6366677080844652,0.18278720158785583
114,True,0.1480896109385625,0.14035248929483762,0.05022696782019003,0.049050778306654656,0.013397533677613805,0.013324021833017846,0.1860033447889291,0.6251998603274953,0.18879679488357562
115,True,0.14735449249260288,0.14018708764449672,0.05048425927627589,0.04864646316137688,0.013838604745189569,0.013103486299229963,0.19215996177384082,0.6134195872309925,0.19442045099516658
116,True,0.1461783029790675,0.14121625346884017,0.0491610460735486,0.048701597044823845,0.012349989892121369,0.013599691250252698,0.19690147575028027,0.6030360391818131,0.20006248506790655
117,True,0.14671126385238822,0.14163894657526693,0.05105397607189458,0.04949184937423042,0.013379155716464815,0.013452667561060776,0.20217595060004043,0.5927260029772297,0.20509804642272986
118,True,0.1473177365703049,0.1406281587120725,0.051384779372576406,0.04826052597724809,0.013654825133699667,0.012441879697866318,0.2070828662268208,0.5835554003638836,0.20936173340929556
119,True,0.14614154705676952,0.14454266443680738,0.05063128296546781,0.0514031573337254,0.012497013581313289,0.014463455424255233,0.2110157499127047,0.5739988605664088,0.21498538952088656
120,True,0.14763016190983771,0.1429805377391432,0.05217503170198298,0.04958373917997538,0.013121864260378953,0.013599691250252698,0.21549997243305827,0.5651774392148935,0.21932258835204824
