minute,conditional_on_extra_time,p_england_shot,p_argentina_shot,p_england_goal,p_argentina_goal,p_england_leading_after,p_tied_after,p_argentina_leading_after
96,True,0.10767222775028107,0.13049377770311307,0.008800382512955042,0.011630461470865694,0.008697000633214014,0.9797759197756614,0.011527079591124666
97,True,0.10604396314435988,0.12730186216610884,0.009472364731271726,0.01139785224144838,0.017704146905651114,0.9598619851905458,0.02243386790380316
98,True,0.10711655014667304,0.12871044027758036,0.008412700463926186,0.011346161301577866,0.025587015235904526,0.9412015558972902,0.03321142886680537
99,True,0.10656087254306501,0.13092022795704483,0.00908468268224287,0.011527079591124666,0.0334957290360932,0.9229546541229986,0.04354961684090821
100,True,0.10499722161198197,0.12896889497693292,0.008877918922760812,0.011229856686869209,0.041210601811767444,0.9054185027719267,0.05337089541630591
101,True,0.1075042321957019,0.1286070583978393,0.008606541488440613,0.01159169326596281,0.04864117441815386,0.8878565059509195,0.06350231963092669
102,True,0.1074137730509285,0.1311269917165269,0.008761614308052156,0.012871044027758035,0.05568406497551142,0.870061899900495,0.07425403512399364
103,True,0.10772391869015159,0.12977010454492588,0.009200987296951527,0.011707997880671466,0.06303710117209206,0.853326958117416,0.08363594071049196
104,True,0.10583719938487782,0.12974425907499063,0.008839150717857928,0.011953529845056408,0.06988615070493519,0.8368633937686571,0.09325045552640761
105,True,0.1057855084450073,0.12934365429099415,0.00899422353746947,0.011152320277063438,0.07656720468319915,0.8218600984712404,0.10157269684556039
106,True,0.1061473450241009,0.12881382215732137,0.008412700463926186,0.01159169326596281,0.08284765387746662,0.8068051122339532,0.11034723388858018
107,True,0.10707778194177016,0.12799968985436078,0.009213910031919155,0.011436620446351266,0.08929609862631327,0.7920215034309861,0.1186823979427006
108,True,0.10600519493945698,0.12935657702596176,0.009330214646627812,0.011462465916286522,0.09560239329051601,0.7777677267616918,0.12662987994779215
109,True,0.10697440006202913,0.12816768540893994,0.008580696018505356,0.011281547626739724,0.10117209206156391,0.7645090006849049,0.13431890725353113
110,True,0.10729746843621984,0.1303257821485339,0.009045914477339984,0.012444593773826293,0.10683224997738522,0.7504749105100603,0.14269283951255443
111,True,0.1294987271106057,0.15703707532662212,0.010751715493066952,0.013517180776139462,0.1132936174611995,0.7353940788028378,0.1513123037359627
112,True,0.13002855924427845,0.15748937105048913,0.010635410878358295,0.01371102180065389,0.11959991212540222,0.7204424744452916,0.15995761342930617
113,True,0.1304162412933073,0.15600325652921185,0.011165243012031065,0.013581794450977605,0.12599666593437836,0.7064213070054146,0.16758202706020703
114,True,0.13095899616194773,0.15513743328638072,0.010441569853843868,0.013917785560135947,0.13142421462078235,0.6927490534096636,0.17582673196955403
115,True,0.1318118966698112,0.15826473514854683,0.011436620446351266,0.014525154103614489,0.1377046638150498,0.678366049390693,0.18392928679425713
116,True,0.13125621906620316,0.15848442164299653,0.010493260793714381,0.01477068606799943,0.1430805215615833,0.664797177674683,0.19212230076373363
117,True,0.1275473941304938,0.1587428763423491,0.011010170192419524,0.01425377666929429,0.14848222477805204,0.6516676789475725,0.1998500962743755
118,True,0.1300414819792461,0.15471098303244898,0.010700024553196439,0.013426721631366063,0.15371593243994158,0.6394686171381311,0.2068154504219273
119,True,0.1296408771952496,0.15672692968739904,0.01095847925254901,0.01405993564477986,0.15876872181228435,0.6273858599433985,0.21384541824431721
120,True,0.13197989222439038,0.15571895635992403,0.010855097372807982,0.01405993564477986,0.16353721101533927,0.6159621622320148,0.22050062675264592
121,True,0.12986056368969928,0.15596448832430895,0.011501234121189408,0.01354302624607472,0.16862876859258494,0.6044221599059225,0.22694907150149257
122,True,0.13229003786361346,0.15601617926417946,0.011126474807128181,0.013956553765038833,0.17293203933680523,0.5945621131256219,0.23250584753757286
123,True,0.13088145975214194,0.160241913598594,0.01139785224144838,0.014912836152643345,0.1770673145264464,0.5837328612227491,0.23919982425080444
124,True,0.13026116847369576,0.15827765788351447,0.010196037889458925,0.014628535983355517,0.1805693757026737,0.5738469689725133,0.24558365532481294
125,True,0.13111406898155925,0.15796751224429137,0.010803406432937467,0.014447617693808718,0.184316968843286,0.5643099905664035,0.2513730405903105
