report,date,team,opponent,duration_minutes,possession_active_pct,possession_contested_pct,attempts,shots_on_target,attempts_against,shots_on_target_against,passes,passes_complete,passes_against,passes_complete_against,pressures,direct_pressures,distance_km,zone4_km,goals,goals_against,xg,xg_against,pass_completion_pct,pass_completion_pct_against,completed_line_breaks,completed_line_breaks_against,defensive_line_breaks,defensive_line_breaks_against,final_third_receptions,final_third_receptions_against,crosses,crosses_against,ball_progressions,ball_progressions_against,forced_turnovers,forced_turnovers_against,second_balls,second_balls_against,phase_build_up_unopposed,phase_build_up_opposed,phase_progression,phase_final_third,phase_long_ball,phase_attacking_transition,phase_counter_attack,phase_set_piece,phase_high_press,phase_mid_press,phase_low_press,phase_high_block,phase_mid_block,phase_low_block,phase_recovery,phase_defensive_transition,phase_counter_press,possession_regains,interceptions,tackles,set_plays,free_kicks,penalties,corners,throw_ins,possession_regains_against,interceptions_against,tackles_against,set_plays_against,free_kicks_against,penalties_against,corners_against,throw_ins_against,goals_per90,xg_per90,attempts_per90,shots_on_target_per90,attempts_against_per90,shots_on_target_against_per90,passes_per90,completed_line_breaks_per90,defensive_line_breaks_per90,final_third_receptions_per90,crosses_per90,ball_progressions_per90,pressures_per90,direct_pressures_per90,forced_turnovers_per90,second_balls_per90,distance_km_per90,zone4_km_per90,set_plays_per90,free_kicks_per90,penalties_per90,corners_per90,throw_ins_per90,possession_regains_per90,interceptions_per90,tackles_per90
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Switzerland,120,54.7,8.3,22,7,11,5,716,629,476,404,241,35,136.7,5.4,3.0,1.0,1.99,0.44,88.0,85.0,98.0,99.0,7.0,8.0,256.0,130.0,16.0,22.0,21.0,34.0,39.0,43.0,69.0,76.0,43.0,23.0,13.0,28.0,3.0,9.0,1.0,6.0,2.0,4.0,1.0,3.0,17.0,30.0,4.0,16.0,10.0,49.0,5.0,29.0,48.0,21.0,0.0,8.0,19.0,42.0,9.0,30.0,35.0,17.0,0.0,2.0,16.0,2.25,1.4925,16.5,5.25,8.25,3.75,537.0,73.5,5.25,192.0,12.0,15.75,180.75,26.25,29.25,51.75,102.52499999999999,4.050000000000001,36.0,15.75,0.0,6.0,14.25,36.75,3.75,21.75
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Spain,90,46.8,7.4,10,3,10,2,496,417,517,439,298,47,114.0,6.1,0.0,2.0,0.48,2.21,84.0,85.0,111.0,98.0,8.0,9.0,117.0,75.0,22.0,8.0,32.0,24.0,51.0,54.0,77.0,68.0,31.0,17.0,23.0,19.0,1.0,12.0,1.0,9.0,9.0,6.0,0.0,7.0,21.0,14.0,2.0,14.0,10.0,50.0,14.0,30.0,46.0,17.0,0.0,7.0,22.0,49.0,10.0,43.0,32.0,14.0,1.0,1.0,16.0,0.0,0.4799999999999999,10.0,3.0,10.0,2.0,496.0,111.0,8.0,117.0,22.0,32.0,298.0,47.0,51.0,77.0,114.0,6.1,46.0,17.0,0.0,7.0,22.0,50.0,14.0,30.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,Spain,France,90,45.8,7.4,10,2,10,3,517,439,496,417,309,54,115.0,5.9,2.0,0.0,2.21,0.48,85.0,84.0,98.0,111.0,9.0,8.0,75.0,117.0,8.0,22.0,24.0,32.0,54.0,51.0,68.0,77.0,27.0,18.0,18.0,10.0,5.0,14.0,1.0,5.0,8.0,6.0,1.0,7.0,24.0,20.0,5.0,12.0,10.0,49.0,10.0,43.0,32.0,14.0,1.0,1.0,16.0,50.0,14.0,30.0,46.0,17.0,0.0,7.0,22.0,2.0,2.21,10.0,2.0,10.0,3.0,517.0,98.0,9.0,75.0,8.0,24.0,309.0,54.0,54.0,68.0,115.0,5.9,32.0,14.0,1.0,1.0,16.0,49.0,10.0,43.0
PMSR-M102-ENG-V-ARG.pdf,2026-07-15,England,Argentina,90,35.2,8.2,5,2,15,5,353,293,610,549,320,40,107.7,4.9,1.0,2.0,0.46,1.47,83.0,90.0,74.0,115.0,13.0,8.0,87.0,230.0,15.0,20.0,25.0,26.0,32.0,39.0,54.0,55.0,37.0,12.0,15.0,13.0,6.0,17.0,1.0,7.0,6.0,3.0,1.0,5.0,16.0,42.0,4.0,9.0,7.0,30.0,10.0,24.0,38.0,18.0,0.0,1.0,19.0,48.0,7.0,32.0,38.0,12.0,0.0,6.0,20.0,1.0,0.45999999999999996,5.0,2.0,15.0,5.0,353.0,74.0,13.0,87.0,15.0,25.0,320.0,40.0,32.0,54.0,107.7,4.9,38.0,18.0,0.0,1.0,19.0,30.0,10.0,24.0
PMSR-M102-ENG-V-ARG.pdf,2026-07-15,Argentina,England,90,56.5,8.2,15,5,5,2,610,549,353,293,188,39,106.6,5.4,2.0,1.0,1.47,0.46,90.0,83.0,115.0,74.0,8.0,13.0,230.0,87.0,20.0,15.0,26.0,25.0,39.0,32.0,55.0,54.0,46.0,20.0,14.0,30.0,1.0,9.0,1.0,6.0,5.0,2.0,0.0,6.0,15.0,25.0,5.0,17.0,11.0,48.0,7.0,32.0,38.0,12.0,0.0,6.0,20.0,30.0,10.0,24.0,38.0,18.0,0.0,1.0,19.0,2.0,1.4700000000000002,15.0,5.0,5.0,2.0,610.0,115.0,8.0,230.0,20.0,26.0,188.0,39.0,39.0,55.0,106.6,5.4,38.0,12.0,0.0,6.0,20.0,48.0,7.0,32.0
PMSR-M14-ESP-V-CPV.pdf,2026-06-15,Spain,Cabo Verde,90,65.7,8.9,27,7,6,1,811,755,306,227,200,37,115.5,5.0,0.0,0.0,2.26,0.13,93.0,74.0,144.0,57.0,28.0,1.0,426.0,17.0,39.0,3.0,23.0,23.0,53.0,47.0,83.0,54.0,48.0,20.0,16.0,40.0,0.0,6.0,1.0,5.0,10.0,3.0,0.0,16.0,12.0,2.0,5.0,23.0,14.0,41.0,7.0,21.0,33.0,4.0,0.0,11.0,18.0,71.0,9.0,33.0,27.0,12.0,0.0,1.0,14.0,0.0,2.26,27.0,7.0,6.0,1.0,811.0,144.0,28.0,426.0,39.0,23.0,200.0,37.0,53.0,83.0,115.5,5.0,33.0,4.0,0.0,11.0,18.0,41.0,7.0,21.0
PMSR-M17-FRA-V-SEN.pdf,2026-06-16,France,Senegal,90,49.4,6.2,11,8,6,2,584,516,521,453,277,49,120.2,7.0,3.0,1.0,1.62,0.39,88.0,87.0,118.0,101.0,11.0,11.0,99.0,78.0,9.0,11.0,37.0,28.0,54.0,39.0,67.0,64.0,41.0,15.0,19.0,12.0,2.0,11.0,2.0,4.0,5.0,4.0,1.0,9.0,30.0,13.0,4.0,11.0,8.0,42.0,10.0,30.0,27.0,12.0,0.0,6.0,9.0,46.0,11.0,30.0,31.0,6.0,0.0,4.0,21.0,3.0,1.62,11.0,8.0,6.0,2.0,584.0,118.0,11.0,99.0,9.0,37.0,277.0,49.0,54.0,67.0,120.2,7.0,27.0,12.0,0.0,6.0,9.0,42.0,10.0,30.0
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Algeria,90,44.6,4.6,10,6,7,1,578,517,634,578,288,57,108.4,4.4,3.0,0.0,1.58,0.41,89.0,91.0,102.0,115.0,8.0,7.0,68.0,160.0,5.0,8.0,18.0,40.0,46.0,40.0,50.0,59.0,44.0,19.0,13.0,7.0,2.0,12.0,2.0,3.0,1.0,2.0,1.0,3.0,39.0,33.0,0.0,8.0,8.0,44.0,15.0,46.0,22.0,8.0,0.0,2.0,12.0,31.0,9.0,30.0,37.0,16.0,0.0,2.0,19.0,3.0,1.5800000000000003,10.0,6.0,7.0,1.0,578.0,102.0,8.0,68.0,5.0,18.0,288.0,57.0,46.0,50.0,108.4,4.4,22.0,8.0,0.0,2.0,12.0,44.0,15.0,46.0
PMSR-M22-ENG-V-CRO.pdf,2026-06-17,England,Croatia,90,49.0,7.5,22,11,10,5,482,421,459,399,262,38,117.0,6.6,4.0,2.0,3.33,0.82,87.0,87.0,82.0,85.0,11.0,8.0,78.0,89.0,15.0,12.0,23.0,20.0,36.0,35.0,63.0,48.0,38.0,19.0,16.0,10.0,4.0,12.0,3.0,6.0,10.0,5.0,0.0,5.0,16.0,21.0,4.0,13.0,11.0,49.0,6.0,20.0,36.0,12.0,1.0,8.0,15.0,37.0,11.0,28.0,30.0,10.0,0.0,2.0,18.0,4.0,3.33,22.0,11.0,10.0,5.0,482.0,82.0,11.0,78.0,15.0,23.0,262.0,38.0,36.0,63.0,117.0,6.6,36.0,12.0,1.0,8.0,15.0,49.0,6.0,20.0
PMSR-M38-ESP-V-KSA.pdf,2026-06-21,Spain,Saudi Arabia,90,63.2,6.9,22,8,3,2,743,688,389,309,214,30,115.5,5.9,4.0,0.0,3.2,0.11,93.0,79.0,159.0,77.0,18.0,7.0,259.0,63.0,28.0,4.0,25.0,19.0,44.0,42.0,87.0,54.0,36.0,19.0,21.0,27.0,1.0,11.0,1.0,3.0,8.0,4.0,0.0,9.0,15.0,12.0,5.0,18.0,12.0,42.0,8.0,25.0,27.0,5.0,0.0,6.0,16.0,37.0,6.0,37.0,28.0,12.0,0.0,1.0,15.0,4.0,3.2,22.0,8.0,3.0,2.0,743.0,159.0,18.0,259.0,28.0,25.0,214.0,30.0,44.0,87.0,115.5,5.9,27.0,5.0,0.0,6.0,16.0,42.0,8.0,25.0
PMSR-M42-FRA-V-IRQ.pdf,2026-06-22,France,Iraq,90,49.0,6.7,19,5,4,0,604,553,502,431,257,35,107.7,4.7,3.0,0.0,2.3,0.7,92.0,86.0,117.0,89.0,21.0,6.0,246.0,50.0,19.0,10.0,38.0,26.0,42.0,37.0,79.0,55.0,39.0,17.0,19.0,29.0,1.0,10.0,1.0,4.0,8.0,4.0,0.0,16.0,28.0,7.0,2.0,13.0,11.0,43.0,12.0,31.0,25.0,4.0,0.0,4.0,17.0,42.0,10.0,38.0,26.0,9.0,0.0,2.0,15.0,3.0,2.3,19.0,5.0,4.0,0.0,604.0,117.0,21.0,246.0,19.0,38.0,257.0,35.0,42.0,79.0,107.7,4.7,25.0,4.0,0.0,4.0,17.0,43.0,12.0,31.0
PMSR-M43-ARG-V-AUT.pdf,2026-06-22,Argentina,Austria,90,48.2,8.4,12,5,6,1,564,509,475,416,229,35,104.4,4.5,2.0,0.0,2.45,0.63,90.0,88.0,87.0,91.0,6.0,13.0,103.0,146.0,6.0,18.0,14.0,18.0,41.0,31.0,53.0,65.0,45.0,17.0,11.0,12.0,2.0,15.0,1.0,4.0,4.0,3.0,1.0,3.0,22.0,31.0,2.0,13.0,9.0,45.0,3.0,27.0,26.0,12.0,1.0,1.0,12.0,29.0,3.0,34.0,38.0,15.0,0.0,3.0,20.0,2.0,2.45,12.0,5.0,6.0,1.0,564.0,87.0,6.0,103.0,6.0,14.0,229.0,35.0,41.0,53.0,104.4,4.5,26.0,12.0,1.0,1.0,12.0,45.0,3.0,27.0
