minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
1,1.0,0.07618666666666667,0.07065111111111111,0.007684444444444444,0.007326666666666667,0.12534666666666666,0.12594222222222223,0.004893333333333334,0.004846666666666667,0.02677777777777778,0.023317777777777778,0.007642222222222222,0.9850733333333334,0.007284444444444444,0.007684444444444444,0.007326666666666667
2,1.0,0.08357333333333333,0.07707555555555555,0.008204444444444445,0.007828888888888889,0.12513333333333335,0.12495333333333333,0.004411111111111111,0.0044822222222222225,0.029042222222222223,0.026111111111111113,0.015566666666666666,0.9695844444444445,0.014848888888888889,0.01588888888888889,0.015155555555555556
3,1.0,0.08209333333333334,0.07688222222222223,0.008362222222222222,0.007826666666666666,0.12284444444444445,0.12324444444444445,0.006288888888888889,0.006313333333333333,0.03022888888888889,0.02688222222222222,0.02351111111111111,0.9542155555555556,0.022273333333333332,0.024251111111111112,0.022982222222222223
4,1.0,0.08416666666666667,0.07794444444444444,0.008993333333333334,0.008757777777777778,0.12327777777777778,0.12345555555555555,0.00702,0.006906666666666667,0.032106666666666665,0.02865111111111111,0.03175777777777778,0.9379177777777777,0.030324444444444446,0.033244444444444445,0.03174
5,1.0,0.08958888888888888,0.08313111111111111,0.009166666666666667,0.008897777777777777,0.12237333333333333,0.12258444444444444,0.0074444444444444445,0.007795555555555556,0.03578222222222222,0.031988888888888886,0.03995777777777778,0.9218177777777777,0.03822444444444444,0.04241111111111111,0.04063777777777778
6,1.0,0.09129111111111111,0.08460888888888889,0.009551111111111111,0.008982222222222223,0.12229777777777778,0.12285777777777777,0.007966666666666667,0.008426666666666667,0.03545555555555555,0.032515555555555554,0.04825555555555556,0.9057,0.04604444444444444,0.05196222222222222,0.04962
7,1.0,0.0915688888888889,0.08411111111111111,0.009593333333333334,0.00951111111111111,0.1196,0.11995777777777777,0.009957777777777777,0.009877777777777777,0.03478222222222222,0.030737777777777777,0.056404444444444445,0.8894533333333333,0.054142222222222224,0.06155555555555556,0.05913111111111111
8,1.0,0.0953288888888889,0.08828666666666667,0.01018,0.009517777777777778,0.11976888888888888,0.1204911111111111,0.009933333333333334,0.009922222222222223,0.03638888888888889,0.03231777777777778,0.06474888888888888,0.8733533333333333,0.06189777777777778,0.07173555555555555,0.06864888888888888
9,1.0,0.09484888888888889,0.08788,0.010131111111111112,0.009786666666666667,0.11686888888888888,0.11646222222222222,0.011442222222222222,0.011875555555555556,0.03736222222222222,0.03340222222222222,0.07279333333333333,0.8575511111111112,0.06965555555555555,0.08186666666666667,0.07843555555555555
10,1.0,0.0984,0.09049777777777777,0.01074,0.010237777777777778,0.11245555555555556,0.11308666666666667,0.011033333333333332,0.010946666666666667,0.03833333333333333,0.03499555555555556,0.08107777777777778,0.8413844444444445,0.07753777777777777,0.09260666666666667,0.08867333333333334
11,1.0,0.09907555555555556,0.09075333333333334,0.01066888888888889,0.009897777777777778,0.11332666666666667,0.11292666666666666,0.0112,0.011062222222222222,0.039573333333333335,0.03521777777777778,0.08907777777777778,0.8260666666666666,0.08485555555555556,0.10327555555555555,0.09857111111111111
12,1.0,0.09518,0.08805777777777778,0.010117777777777778,0.009882222222222223,0.11529777777777778,0.11474888888888889,0.013106666666666668,0.013024444444444444,0.03827777777777778,0.033973333333333335,0.09639777777777778,0.8115244444444445,0.09207777777777777,0.11339333333333333,0.10845333333333333
13,1.0,0.0996,0.09273333333333333,0.010835555555555555,0.010153333333333334,0.10834444444444444,0.10919555555555556,0.013186666666666666,0.013157777777777777,0.03682,0.033015555555555555,0.10406222222222222,0.7966911111111111,0.09924666666666666,0.12422888888888889,0.11860666666666667
14,1.0,0.09793333333333333,0.09053777777777777,0.01041111111111111,0.009748888888888889,0.1081088888888889,0.10898888888888889,0.012293333333333333,0.012537777777777778,0.03772,0.03386444444444445,0.11122666666666667,0.7829888888888888,0.10578444444444444,0.13464,0.12835555555555556
15,1.0,0.09303777777777777,0.08654222222222223,0.009488888888888889,0.009071111111111111,0.10698444444444444,0.10717555555555555,0.012073333333333333,0.012397777777777778,0.03771777777777778,0.033584444444444445,0.11743333333333333,0.7708244444444444,0.11174222222222223,0.1441288888888889,0.13742666666666667
16,1.0,0.09228444444444445,0.08604444444444445,0.00951111111111111,0.009211111111111111,0.11277333333333334,0.11287555555555556,0.012937777777777777,0.01288,0.03531111111111111,0.032135555555555556,0.12363333333333333,0.7586177777777777,0.11774888888888889,0.15364,0.14663777777777778
17,1.0,0.08528888888888889,0.07928222222222223,0.008106666666666667,0.00784,0.12159777777777778,0.12127333333333333,0.014348888888888888,0.013911111111111112,0.034375555555555555,0.03082,0.12869111111111112,0.7486377777777777,0.1226711111111111,0.16174666666666668,0.15447777777777777
18,1.0,0.08542444444444444,0.07895777777777778,0.008386666666666667,0.00808,0.11721111111111111,0.11820666666666667,0.01432,0.014397777777777778,0.032835555555555555,0.030133333333333335,0.13392888888888888,0.73848,0.1275911111111111,0.17013333333333333,0.16255777777777777
19,1.0,0.09088,0.08435777777777778,0.009433333333333334,0.008937777777777777,0.11718222222222222,0.1178088888888889,0.01266,0.012233333333333334,0.03666222222222222,0.03337777777777778,0.1396777777777778,0.7273288888888889,0.13299333333333332,0.17956666666666668,0.17149555555555557
20,1.0,0.09225777777777777,0.08424666666666666,0.00935111111111111,0.008935555555555556,0.11931111111111112,0.1187711111111111,0.01334,0.013226666666666666,0.039093333333333334,0.03444222222222222,0.14520222222222223,0.7165866666666667,0.13821111111111112,0.18891777777777777,0.1804311111111111
21,1.0,0.08935333333333334,0.08376222222222222,0.009246666666666667,0.008924444444444445,0.11674222222222222,0.11850666666666666,0.014271111111111111,0.014133333333333333,0.03908888888888889,0.03498,0.15044666666666667,0.7063933333333333,0.14316,0.19816444444444445,0.18935555555555555
22,1.0,0.09100888888888889,0.08454,0.009344444444444445,0.009213333333333334,0.11965555555555556,0.11859777777777777,0.015313333333333333,0.015097777777777778,0.038664444444444446,0.03429111111111111,0.15561111111111112,0.69616,0.14822888888888888,0.20750888888888888,0.19856888888888888
23,1.0,0.09074888888888889,0.08433555555555555,0.009586666666666667,0.009495555555555556,0.11526,0.11522444444444445,0.013968888888888888,0.014137777777777779,0.039233333333333335,0.03487333333333333,0.16080666666666665,0.68576,0.15343333333333334,0.21709555555555557,0.20806444444444444
24,1.0,0.09548,0.08886,0.01006888888888889,0.009726666666666666,0.11052444444444444,0.1107511111111111,0.014635555555555556,0.014813333333333333,0.04031777777777778,0.036033333333333334,0.1659488888888889,0.6756644444444444,0.15838666666666668,0.22716444444444445,0.2177911111111111
