minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
1,1.0,0.10929666666666667,0.07356333333333333,0.009593333333333334,0.00865,0.13100333333333333,0.12704666666666667,0.004386666666666666,0.004263333333333333,0.046283333333333336,0.026976666666666666,0.00952,0.9819033333333334,0.008576666666666666,0.009593333333333334,0.00865
2,1.0,0.11923,0.08036666666666667,0.010113333333333334,0.009723333333333334,0.13096666666666668,0.12716666666666668,0.00401,0.004016666666666667,0.050326666666666665,0.028993333333333333,0.01927,0.9628533333333333,0.017876666666666666,0.019706666666666667,0.018373333333333332
3,1.0,0.11729333333333333,0.07885,0.010386666666666667,0.009883333333333333,0.1295,0.12549333333333335,0.00576,0.0054666666666666665,0.05239666666666667,0.030796666666666667,0.028936666666666666,0.94402,0.027043333333333332,0.030093333333333333,0.028256666666666666
4,1.0,0.12024,0.08016333333333334,0.01113,0.01007,0.13038666666666668,0.12497333333333334,0.006353333333333333,0.00605,0.055023333333333334,0.031523333333333334,0.03899,0.9248933333333333,0.036116666666666665,0.041223333333333334,0.03832666666666667
5,1.0,0.12881333333333334,0.08697333333333333,0.011536666666666667,0.010876666666666666,0.12918666666666667,0.12381,0.0068,0.006753333333333333,0.06308666666666667,0.03625,0.04893666666666667,0.9056033333333333,0.04546,0.05276,0.049203333333333335
6,1.0,0.13104,0.08825,0.01198,0.010883333333333333,0.12921666666666667,0.12591333333333332,0.007326666666666667,0.00737,0.06429666666666667,0.03627333333333333,0.05903,0.8864733333333333,0.054496666666666665,0.06474,0.06008666666666666
7,1.0,0.13198333333333334,0.08797,0.012403333333333334,0.011303333333333334,0.12525333333333333,0.12196,0.009193333333333333,0.00849,0.060083333333333336,0.03513666666666666,0.06906333333333334,0.8672666666666666,0.06367,0.07714333333333333,0.07139
8,1.0,0.13552666666666666,0.09179,0.012743333333333334,0.011703333333333333,0.12685,0.12329666666666667,0.00924,0.008676666666666666,0.06305,0.03664,0.079,0.84831,0.07269,0.08988666666666667,0.08309333333333334
9,1.0,0.13683666666666666,0.09109333333333333,0.012903333333333333,0.011766666666666667,0.12204333333333334,0.11997,0.010403333333333334,0.010676666666666666,0.06519666666666667,0.03725333333333333,0.08880666666666667,0.8297633333333333,0.08143,0.10279,0.09486
10,1.0,0.14043,0.09409,0.01321,0.012063333333333334,0.11747,0.11464,0.010103333333333334,0.009446666666666667,0.06675333333333333,0.03878,0.09868666666666667,0.8110633333333334,0.09025,0.116,0.10692333333333333
11,1.0,0.14247666666666667,0.09473666666666666,0.013093333333333334,0.011966666666666667,0.11621,0.11517666666666666,0.00989,0.009713333333333333,0.06942,0.0395,0.10792333333333333,0.79339,0.09868666666666667,0.12909333333333334,0.11889
12,1.0,0.13709,0.09176333333333334,0.01271,0.011556666666666666,0.12034666666666667,0.11576666666666667,0.011906666666666666,0.01123,0.06664666666666667,0.03829333333333333,0.11663333333333334,0.77696,0.10640666666666666,0.14180333333333334,0.13044666666666666
13,1.0,0.14338333333333333,0.09622,0.013463333333333334,0.012396666666666667,0.11567,0.10968,0.012333333333333333,0.01179,0.06474,0.03737,0.12572666666666665,0.7596333333333334,0.11464,0.15526666666666666,0.14284333333333332
14,1.0,0.14109,0.09484,0.012903333333333333,0.01228,0.11372333333333333,0.10976666666666667,0.011223333333333333,0.010696666666666667,0.06697333333333333,0.03841666666666667,0.13385333333333332,0.7436333333333334,0.12251333333333334,0.16817,0.15512333333333334
15,1.0,0.13413333333333333,0.09021666666666667,0.012423333333333333,0.01126,0.11243666666666667,0.10893666666666667,0.011283333333333333,0.010623333333333334,0.06533,0.03802333333333333,0.14143666666666665,0.7295266666666667,0.12903666666666666,0.18059333333333333,0.16638333333333333
16,1.0,0.13185666666666668,0.08931666666666667,0.0115,0.011033333333333332,0.11725,0.11527666666666667,0.01205,0.011656666666666666,0.062136666666666666,0.03512333333333333,0.14786333333333335,0.7166666666666667,0.13547,0.19209333333333334,0.17741666666666667
17,1.0,0.12212666666666666,0.08192666666666666,0.010266666666666667,0.00981,0.12847666666666666,0.12450333333333333,0.013353333333333333,0.012806666666666666,0.06075666666666667,0.03529,0.15375666666666668,0.7051366666666666,0.14110666666666666,0.20236,0.18722666666666668
18,1.0,0.12274333333333333,0.08166333333333334,0.010663333333333334,0.01005,0.12436333333333334,0.11997333333333333,0.01278,0.012916666666666667,0.05793333333333334,0.03349,0.15981333333333334,0.6934766666666666,0.14671,0.21302333333333334,0.19727666666666666
19,1.0,0.13015666666666667,0.08870333333333333,0.011853333333333334,0.011083333333333334,0.12365,0.11959333333333333,0.01136,0.011036666666666667,0.06417666666666667,0.03709333333333333,0.16614333333333334,0.68137,0.15248666666666666,0.22487666666666667,0.20836
20,1.0,0.13181666666666667,0.08780666666666667,0.011616666666666668,0.011,0.12623,0.12225,0.012536666666666666,0.012176666666666667,0.06736666666666667,0.03873666666666667,0.17211666666666667,0.6698433333333333,0.15804,0.23649333333333333,0.21936
