fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941984,soccer_exact_score,France 0 - 1 England,Exact Score: France 0 - 1 England?,Yes,No,97574919734149007313064889238734975478996946020639808421026332258713303476825,60129640300285378328035174641272884046194286578104309805402712072704054571258,368220.1137280001,490470.73482,0.042,0.043,0.05,0.001,True,0.043,0.042,0.000999999999999994,391.32579999999996,9744.68195,281.07408,0.958,0.957,0.0010000000000000009,6411.1659199999995,227911.81524999999,8709.2742
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941985,soccer_exact_score,France 1 - 0 England,Exact Score: France 1 - 0 England?,Yes,No,61614661992424492173938297562112512099804520917816987914209049210275885628462,36021325291674835501257551232202761749390705768070007003235288118635614421481,148604.83493999936,3203818.8093,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,83187.13900000001,252381.4496,5310.953399999999,0.94,0.93,0.009999999999999898,83204.9366,305236.9034,1105200.561
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941986,soccer_exact_score,France 0 - 2 England,Exact Score: France 0 - 2 England?,Yes,No,39041009424463264405833524627754921712545508890394561269865959538907058912502,110390665526164462948552804745075921946361493821417521155912655831882419110222,282793.5198119997,561822.85832,0.029,0.03,0.05,0.001,True,0.03,0.029,0.0009999999999999974,22.6827,8292.009900000001,186.64371,0.971,0.97,0.0010000000000000009,6249.3462899999995,306016.10992,733.4073
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941987,soccer_exact_score,France 1 - 1 England,Exact Score: France 1 - 1 England?,Yes,No,51695634536654818524904567840367422434925521930955943706676129558812748145248,85991163361707059478122141587385154218740046714882039099540501189991002531177,211050.56185900045,2743455.7882,0.1,0.11,0.05,0.01,True,0.11,0.1,0.009999999999999995,120788.15320000002,343607.3471,14326.286,0.9,0.89,0.010000000000000009,128936.574,260915.5657,977269.7777
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941988,soccer_exact_score,France 2 - 0 England,Exact Score: France 2 - 0 England?,Yes,No,83738293003989061909432987812246099956283553688616457850473263255666340995863,24422286319743612424586161606143185900928449498626548494888494659350127767379,262924.619224996,2337835.3459,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,75963.5212,159648.98440000002,12349.979399999998,0.94,0.93,0.009999999999999898,193248.01059999998,338350.5614,1009133.979
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941989,soccer_exact_score,France 0 - 3 England,Exact Score: France 0 - 3 England?,Yes,No,43863237958662185303255747001516390892668137934134139782430242712958236796263,37325156613964674326708490905219409497036234425063978222001914062723598149570,205379.68523399983,581139.40845,0.01,0.011,0.05,0.001,True,0.011,0.01,0.0009999999999999992,2.65221,4621.85799,130.03719999999998,0.99,0.989,0.0010000000000000009,12873.682799999999,706942.83216,257.75318
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941990,soccer_exact_score,France 1 - 2 England,Exact Score: France 1 - 2 England?,Yes,No,47725115768942599245435543299520586635682755707864227318684625633614926636446,111967320046683721120109257616915970974897169935926251965786684117668181606776,328268.3744979959,2809444.9374,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,52255.66640000001,209608.6521,17077.6692,0.94,0.93,0.009999999999999898,267550.1508,389138.6172,694253.8536
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941991,soccer_exact_score,France 2 - 1 England,Exact Score: France 2 - 1 England?,Yes,No,70617876534332603001051872118464962749830433834266462871549496979917149356185,71824415369050529903604664265312348624339165546736865434786631559172922399295,961437.1566259991,2199585.2561,0.11,0.12,0.05,0.01,True,0.12,0.11,0.009999999999999995,142608.72,274383.1359,6556.2684,0.89,0.88,0.010000000000000009,53046.1716,399248.137,1045737.1407999999
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941992,soccer_exact_score,France 3 - 0 England,Exact Score: France 3 - 0 England?,Yes,No,71579935885238729370531508632170367735300675638008874113954459647621456394107,111864925266071288591217886296151901343503794465466677078902429990890941550054,228991.8248459997,407612.73106,0.045,0.046,0.05,0.001,True,0.046,0.045,0.0010000000000000009,43.17974,10409.602590000002,748.83645,0.955,0.954,0.0010000000000000009,15891.97355,160067.61510999998,895.51026
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941993,soccer_exact_score,France 1 - 3 England,Exact Score: France 1 - 3 England?,Yes,No,82683428151724578313364395635035607159364277568301998535997746533369405222616,81695283754059184552740228483256358767727532503668996582831580514490589196158,225419.63829900025,578421.59253,0.03,0.031,0.05,0.001,True,0.031,0.03,0.0010000000000000009,247.45998,8347.14558,183.7893,0.97,0.969,0.0010000000000000009,5942.5207,253208.22253,7735.120019999999
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941994,soccer_exact_score,France 2 - 2 England,Exact Score: France 2 - 2 England?,Yes,No,6958970558174309284782223375880969055625012204063988403251481024738779408118,7397811728293736056999681087356237492491531269299601004967845780588145337370,448326.2430510001,2137796.96,0.07,0.08,0.05,0.01,True,0.08,0.07,0.009999999999999995,44790.6408,189377.6227,16523.3565,0.93,0.92,0.010000000000000009,219524.59350000002,441690.1304,515263.1488
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941995,soccer_exact_score,France 3 - 1 England,Exact Score: France 3 - 1 England?,Yes,No,57716287394748798766806223253182132223051854128703406873399535626224142146187,21068985420988296968126799664296613266675922370351368397019455239267146952705,1203107.442275998,2023367.2457,0.07,0.08,0.05,0.01,True,0.08,0.07,0.009999999999999995,71356.7064,167497.24970000001,25974.781000000003,0.93,0.92,0.010000000000000009,345030.4185,559128.5707,820544.6236
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941996,soccer_exact_score,France 2 - 3 England,Exact Score: France 2 - 3 England?,Yes,No,47900225213576749948704597444302726918908953028391106933373400103287761335255,12126985522496775779898513033450175928108152420587260431596891059917095347106,514244.448033998,411249.29321,0.035,0.036,0.05,0.001,True,0.036,0.035,0.000999999999999994,4393.200239999999,6831.620739999999,141.75,0.965,0.964,0.0010000000000000009,3908.25,267732.83492,117666.30271999999
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941997,soccer_exact_score,France 3 - 2 England,Exact Score: France 3 - 2 England?,Yes,No,69502084100804689355153051763208490212667904877262906299746339004132409869954,72166004559276241860499618632827389901491601078965102090191221599394120521739,853854.3116739953,1825308.8299,0.05,0.06,0.05,0.01,True,0.06,0.05,0.009999999999999995,42984.5004,112732.4975,9571.183,0.95,0.94,0.010000000000000009,181931.64049999998,414538.6625,673907.9395999999
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941998,soccer_exact_score,France 3 - 3 England,Exact Score: France 3 - 3 England?,Yes,No,45441664016374221637425717412841164229115501443222518799950103324628857482912,79717254973953441731721062821113136648595821940607197619538640718877281304397,757277.5802280032,429510.69925,0.025,0.026,0.05,0.001,True,0.026,0.025,0.0009999999999999974,105.39464,5427.24029,372.21025000000003,0.975,0.974,0.0010000000000000009,14516.19975,391314.83599,2795.6235
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941999,soccer_exact_score,Any Other Score,Exact Score: Any Other Score?,Yes,No,77643273423189704343736039854784640042698303451885684346802301629042882281876,53921125910881474618616951274438881938303285021466303057535621782422136228777,275009.3488049991,402083.2465,0.13,0.14,0.05,0.01,True,0.14,0.13,0.010000000000000009,8186.007200000001,27761.6572,61704.5962,0.87,0.86,0.010000000000000009,412946.14379999996,556323.4813999999,50316.191999999995
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942000,soccer_first_to_score,France,France to score first vs. England?,Yes,No,56735302916010239099392370155194320325205863232630645733151226259169129115252,95263391672314592162431977061052599293576507269153256221263204964044788438733,14495.522229000004,228991.6999,0.59,0.6,0.05,0.01,True,0.6,0.59,0.010000000000000009,9904.866,43142.107,13242.8922,0.41,0.4,0.009999999999999953,9192.4378,19449.1722,6593.244000000001
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942001,soccer_first_to_score,England,England to score first vs. France?,Yes,No,17610346931792627261599618639002865196881194394001571997005448094628240795040,90577939647849931338599586745796772026982380820389118649272944839985294328791,30411.360007999992,204734.8077,0.36,0.37,0.05,0.01,True,0.37,0.36,0.010000000000000009,7053.5431,19635.9314,3111.2891999999997,0.64,0.63,0.010000000000000009,5531.1808,31169.143799999998,12010.0869
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942002,soccer_first_to_score,Neither,France vs. England: Neither team to score first?,Yes,No,53909487511469903385778890039741849533103721576045814105547494969268513418889,16366202394934605632115871327259410479798404477344927866250023057352893411893,95435.36437099999,300774.7307,0.04,0.05,0.05,0.01,True,0.05,0.04,0.010000000000000002,2389.103,7716.9728000000005,1606.2307999999998,0.96,0.95,0.010000000000000009,38549.53919999999,452370.2092,45392.956999999995
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942101,spreads,France (-1.5),Spread: France (-1.5),France,England,107315532298789701436237363960672430085793514173994076548684716531610645605062,45930495139847278152934131136324997363117779649024847111322222331312813758735,146970.86998199997,648771.9075,0.29,0.3,0.05,0.01,True,0.3,0.29,0.010000000000000009,24755.796000000002,45354.397800000006,201336.22069999998,0.71,0.7,0.010000000000000009,322526.6093,422790.6778,57763.524
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942102,spreads,England (-1.5),Spread: England (-1.5),England,France,59081023737975607500628528400166797136144717449042303459139811438678429594435,99901836617520718258160716567558126987507829345477748705868933930827338302389,37428.05308599999,384887.0081,0.1,0.11,0.05,0.01,True,0.11,0.1,0.009999999999999995,6580.8116,14643.425,234.06,0.9,0.89,0.010000000000000009,2106.54,100815.6693,53244.7484
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942103,spreads,France (-2.5),Spread: France (-2.5),France,England,93539866195124165694729688965730248046184193746602191832197809660776251335744,4110944043952185402670353611530369910123429462051198103756625151142374961601,17308.015949,379934.4305,0.13,0.14,0.05,0.01,True,0.14,0.13,0.010000000000000009,7150.7170000000015,18070.782700000003,2998.4318000000003,0.87,0.86,0.010000000000000009,20066.428200000002,134170.8113,43925.833
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942104,spreads,England (-2.5),Spread: England (-2.5),England,France,107356637311190267360783850642751181429643542425881821170401275479962938083788,55935298681955775296732900074490808079328769995256102977083593930399895110771,132471.67518700004,387579.92862,0.029,0.03,0.05,0.001,True,0.03,0.029,0.0009999999999999974,341.1759,2890.3506,271.1877,0.971,0.97,0.0010000000000000009,9080.112299999999,677576.47459,11031.3541
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942105,spreads,France (-3.5),Spread: France (-3.5),France,England,30524596259337981680587728552664553209709035817148238328444855292983132704753,12386495218367275181874695555531833907696459056042848951693399856367821752395,90263.982287,428479.9764,0.048,0.049,0.05,0.001,True,0.049,0.048,0.0010000000000000009,246.27890000000002,2276.3570799999998,205.63152,0.952,0.951,0.0010000000000000009,4078.3584799999994,399926.79133,4779.8211
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942106,spreads,England (-3.5),Spread: England (-3.5),England,France,109806483494935630291934132465846911927555746621302847455697136067770036217238,51997224566828875083197896629043134496740294018910226882849480957145518270977,12624.910966000001,315323.31505,0.007,0.008,0.05,0.001,True,0.008,0.007,0.001,0.04,816.20219,20.33248,0.993,0.992,0.0010000000000000009,2884.30752,11222.71566,4.96
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942107,spreads,France (-4.5),Spread: France (-4.5),France,England,85267834267532893381510494854489910146537723937553185091933756740287328487141,43139594823871088966056390711790956497528805465981182476579695643178411232867,4951.367260999999,117512.99846,0.01,0.013,0.05,0.001,True,0.013,0.01,0.002999999999999999,17.26907,341.02445,8.105599999999999,0.99,0.987,0.0030000000000000027,802.4544,4285.14418,1311.12093
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942108,spreads,England (-4.5),Spread: England (-4.5),England,France,83858137775429766873583079293801133212676011201440037799442043787644885294823,89058207458134900758600319309526527341787020895808278123754134456905217734693,4678.122567000001,125095.45651,,0.001,0.05,0.001,True,0.001,,,0.00983,15.84956,0,,0.999,,0,0,9.82017
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942109,spreads,France (-5.5),Spread: France (-5.5),France,England,107015951727796682676788885254080516570237213402306304530045294301833891644659,9446245787433246498335064310287294029330042203205887085004523959288003776213,16297.027704000948,202446.75224,0.002,0.005,0.05,0.001,True,0.005,0.002,0.003,9.68365,61.60898,1.6739000000000002,0.998,0.995,0.0030000000000000027,835.2761,3681.4271,1927.04635
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942110,spreads,England (-5.5),Spread: England (-5.5),England,France,77241955199380862377228543134066331526988123349321676518462683525841616901560,110801258184439721765191661716063636530979258652834634756174617338920391705687,5886.381506999998,195953.04344,,0.001,0.05,0.001,True,0.001,,,6.305140000000001,47.520140000000005,0,,0.999,,0,0,6298.83486
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942111,totals,O/U 0.5,France vs. England: O/U 0.5,Over,Under,63394989871563411327592225760911317119016898782082385835069625555113561021962,32120227478407138859055793501586096850440988532128785588091232235719684264342,340564.4379160004,402490.81986,0.961,0.962,0.05,0.001,True,0.962,0.961,0.0010000000000000009,9408.24456,363469.0737,3399.08583,0.039,0.038,0.0010000000000000009,137.94417,5130.95062,371.63543999999996
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942112,totals,O/U 1.5,France vs. England: O/U 1.5,Over,Under,55849010379012227718027113079992156041960679126331030026026488393449056177567,74910594565068158224893375660958876959994195840064419226652129439754632788747,262685.0757549999,470188.0905,0.86,0.87,0.05,0.01,True,0.87,0.86,0.010000000000000009,98496.267,192584.01760000002,17427.1604,0.14,0.13,0.010000000000000009,2836.9796,24019.5003,14717.833
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942113,totals,O/U 2.5,France vs. England: O/U 2.5,Over,Under,91273691439800949134343698031415822234564495516010775300750054870032248800390,51996903197318772681058668801526087046272632621329877425203598210032904792582,586448.7645970015,697431.4777,0.67,0.68,0.05,0.01,True,0.68,0.67,0.010000000000000009,107184.60560000001,190427.5681,35670.230500000005,0.33,0.32,0.010000000000000009,17568.9195,151263.9553,50439.8144
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942114,totals,O/U 3.5,France vs. England: O/U 3.5,Over,Under,95915378873861214136464741197731679476285197462037980287078869056825510229415,80365342899455479632541246608117408855851039680249554514392443212940481459570,870239.7349100015,1194627.8912,0.44,0.45,0.05,0.01,True,0.45,0.44,0.010000000000000009,249953.65649999998,317699.48569999996,273496.7576,0.56,0.55,0.010000000000000009,348112.2344,503230.2778,305498.9135
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942115,totals,O/U 4.5,France vs. England: O/U 4.5,Over,Under,7267436150570971620568374104121715758612572881063684710694300709246542320993,64143894378963589272843637530029731499807712614460216549109031708733298999931,299365.40650100017,464438.4397,0.25,0.26,0.05,0.01,True,0.26,0.25,0.010000000000000009,19092.9908,44249.1378,18336.045,0.75,0.74,0.010000000000000009,55008.134999999995,139816.0446,54341.5892
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942116,totals,O/U 5.5,France vs. England: O/U 5.5,Over,Under,2837693008135583864003951653173854105705739433929544841571301661558210743572,99391303792561285756495149589862050061661277188853613284256324718757101288129,216554.75143099998,403435.392,0.12,0.13,0.05,0.01,True,0.13,0.12,0.010000000000000009,8109.587200000001,20591.318400000004,7497.1824,0.88,0.87,0.010000000000000009,54979.3376,129517.49899999998,54271.8528
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942117,totals,O/U 6.5,France vs. England: O/U 6.5,Over,Under,25098640277282139188067828879686561255823846168955945665383818259964582022663,74656679432355534623655040730607466184987767891880084920922552797033526495351,281251.8217810002,450373.4559,0.05,0.06,0.05,0.01,True,0.06,0.05,0.009999999999999995,3517.3853999999997,11016.5242,2471.362,0.95,0.94,0.010000000000000009,46955.878,843019.0379,55105.70459999999
