fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891660,Spread: Argentina (-4.5),spreads,spread,Argentina (-4.5),Argentina,England,11208710509028131629835257433974006514475513393105115531078253558877480090228,21053106365632383072561384752323424021181523305545620264761869661264635585258,170538.66708,9003.070258,0.001,0.004,0.05,0.001,0.004,0.001,0.003,57.336099999999995,57.336099999999995,37.867599999999996,0.5516599999999999,0.5516599999999999,0.5516599999999999,0.999,0.996,0.0030000000000000027,551.10834,551.10834,551.10834,12305.3539,12305.3539,9429.0324
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891661,Spread: England (-5.5),spreads,spread,England (-5.5),England,Argentina,9409830600419933836979937406521505469608801868113322160646326140154383305272,107932567564955544353069236703937822038718426210749724058964162914974204253184,150103.6259,35438.389562000026,,0.002,0.05,0.001,0.002,,,64.97934,66.39334,1.1096,0,0,0,,0.998,,0,0,0,16999.930659999998,17099.51666,553.6904
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891662,Spread: Argentina (-5.5),spreads,spread,Argentina (-5.5),Argentina,England,29521955263941857895709614492179968714845714216585955794442958515803810007653,13002950257033149563348744888042900839119581569719957644373704949574079220745,168006.55808,13490.379274000012,0.001,0.003,0.05,0.001,0.003,0.001,0.002,25.7944,25.7944,9.56622,0.005,0.005,0.005,0.999,0.997,0.0020000000000000018,4.995,4.995,4.995,6102.3556,6102.3556,3179.1737799999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891663,England vs. Argentina: O/U 0.5,totals,totals,Total over 0.5,Over,Under,81181976116899441618303020508388929007094711029031483388433640289863009618793,62841982373761883089572556369893940843907698183832485787317683347197916274798,333606.59765,296554.42746499984,0.89,0.8925,0.05,0.0025,0.8925,0.89,0.0024999999999999467,111704.44605,182558.852075,338.712675,76850.383075,94516.679025,1956.8252,0.11,0.1075,0.0025000000000000022,9993.196925,12562.510975000001,241.85479999999998,12785.96395,19988.577924999998,40.797325
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891664,England vs. Argentina: O/U 1.5,totals,totals,Total over 1.5,Over,Under,43118594249845733633340709977853736893797877085036848423587259771830075889516,34722693297919059848905898968884829086904243244959579825508013056668468340666,928463.1297,765423.9294849974,0.6725,0.675,0.05,0.0025,0.675,0.6725,0.0025000000000000577,358326.925,418629.735625,268997.48325,380740.01914999995,445212.46705,314284.25354999996,0.3275,0.325,0.0025000000000000022,186152.62085,219552.61295,153052.92645,171548.17500000002,198410.614375,129517.30675
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891665,England vs. Argentina: O/U 2.5,totals,totals,Total over 2.5,Over,Under,74195920481980850339833434858532868591496382001885653367714402955122956464009,14810140581269397419567001424139048025311397173553529273395121109049362886938,1735758.127225,2772828.451815,0.3925,0.395,0.05,0.0025,0.395,0.3925,0.0025000000000000022,494686.4715,506931.6443,228995.58570000003,398631.72530000005,438916.56125,137579.8379,0.6075,0.605,0.0025000000000000577,625394.2647,692450.62875,212942.04210000002,749030.3085,766529.3557,350740.07430000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891666,England vs. Argentina: O/U 3.5,totals,totals,Total over 3.5,Over,Under,74527418458582480822261620327325996776349884696568477779653950974404498632202,105017023447190530900343787654832326956880150466448486978958536403289872840199,538168.14835,438179.62573300017,0.2125,0.215,0.05,0.0025,0.215,0.2125,0.0025000000000000022,85011.28922499999,91213.90422499999,59049.773649999996,21050.126874999998,28354.795225,7359.663374999999,0.7875,0.785,0.0024999999999999467,79703.66312499999,109387.584775,27274.046625,308394.730775,329028.865775,215600.33635
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891667,England vs. Argentina: O/U 4.5,totals,totals,Total over 4.5,Over,Under,945319595124573892303874255226449643421138945794757847949227688182013395302,74463191326945909901690373377838320218495506884741921508815977171064095462202,274126.91405,120929.47894799997,0.095,0.0975,0.05,0.0025,0.0975,0.095,0.0025000000000000022,7451.321725000001,9813.040350000001,321.99667500000004,7098.946475,9259.8864,77.64444999999999,0.905,0.9025,0.0025000000000000577,73103.113525,98218.5136,739.6655499999999,65948.578275,84181.40965,2980.533325
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891668,England vs. Argentina: O/U 5.5,totals,totals,Total over 5.5,Over,Under,106800539355248757429830730164553812837862655514328906875045484900326619582958,21081236028515227130772718428769042623326523205945381043688713214769598158535,225529.86006,160233.58659599998,0.038,0.039,0.05,0.001,0.039,0.038,0.0010000000000000009,673.48266,1710.1838899999998,160.59653999999998,2817.72595,3550.79215,345.21328,0.962,0.961,0.0010000000000000009,82442.84404999999,115417.67785,8739.34672,14910.725799999998,33930.15457,3719.7619199999995
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891669,England vs. Argentina: O/U 6.5,totals,totals,Total over 6.5,Over,Under,46874391339973167664943148354190062680603689890967009267156026566462843242064,58877458282703417403492304899174726280887218375749617245154768531905536567506,257344.86214,55034.740152000035,0.012,0.013,0.05,0.001,0.014,0.012,0.002,394.75858,1233.75858,37.10504,295.7431,299.76905,80.52864000000001,0.988,0.986,0.0020000000000000018,39964.3611,43986.285149999996,6167.955559999999,17726.29378,45387.29378,2072.1973199999998
