event_slug,event_title,market_id,question,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
world-cup-winner,World Cup Winner ,558934,Will Spain win the 2026 FIFA World Cup?,Spain,Yes,No,4394372887385518214471608448209527405727552777602031099972143344338178308080,112680630004798425069810935278212000865453267506345451433803052322987302357330,8121511.17783,116464806.50437036,0.05,0.001,0.582,0.581,0.0010000000000000009,2667495.91429,2950609.97462,1346408.99664,966393.5693499999,5423416.891349999,127574.28928999999,0.419,0.418,0.0010000000000000009,719518.60065,4094307.7386499997,92002.80071,1895832.23571,2086090.8953800001,967008.52336
world-cup-winner,World Cup Winner ,558935,Will England win the 2026 FIFA World Cup?,England,Yes,No,115556263888245616435851357148058235707004733438163639091106356867234218207169,77121637225348873006259930776623502125079210522997384841464684944292365296940,6664899.39278,104203252.95136744,0.05,0.001,0.228,0.227,0.0010000000000000009,80122.98947,153150.56833,15027.06276,146828.81028,510867.17407,75063.58139,0.773,0.772,0.0010000000000000009,504118.36972,1896973.25593,255535.68861,268656.64053000003,499068.40167000005,50881.10724
world-cup-winner,World Cup Winner ,558938,Will Argentina win the 2026 FIFA World Cup?,Argentina,Yes,No,18812649149814341758733697580460697418474693998558159483117100240528657629879,115428153746996892211798999366308897078723117634059783423375188043903703749062,7001851.51516,139699520.21280003,0.05,0.001,0.198,0.197,0.0010000000000000009,292770.83375,321731.34491,10106.53182,59384.719600000004,135128.76986,20672.659920000002,0.803,0.802,0.0010000000000000009,246726.89416000003,592792.7539,84264.70008000001,1158240.35625,1265441.97509,40936.55818
world-cup-winner,World Cup Winner ,558953,Will Any Other Team win the 2026 FIFA World Cup?,Other,Yes,No,79294058792460060508456003181703265072132285732867201188949277886067025923060,45044543697892547559355972767820696329315708807162308077038115978299112392271,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558986,Will Team AG win the 2026 FIFA World Cup?,Team AG,Yes,No,22080439003081160335463459731968476156829161112460238800360422178479386141464,77910847478809995058448274826079010223593397941633805984094972226122800048709,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558987,Will Team AH win the 2026 FIFA World Cup?,Team AH,Yes,No,36690899872851265212073248479749198484310643977286990183654353938157257385703,59371946446469794353058071488995665434050758239395721646374702098901681621065,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558988,Will Team AI win the 2026 FIFA World Cup?,Team AI,Yes,No,12366378008763522974663587592879031391963617972072183715011748595784372282658,4656906392974014325918760073723924410694810312646921590215810991376555666336,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558989,Will Team AJ win the 2026 FIFA World Cup?,Team AJ,Yes,No,106714509099031307386969305100232668041979073723855036394840185882925764512824,20978849540032153795757792165797233558709942355420439379052331861357721097168,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558990,Will Team AK win the 2026 FIFA World Cup?,Team AK,Yes,No,61793790334080006057089648535471543975515468838412489783998924413235561084673,27165463116844706103975152815848182286836777953996490568952847989478197654425,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558991,Will Team AL win the 2026 FIFA World Cup?,Team AL,Yes,No,112698997011817206967685330885482813151983819281331724209499074879167443880973,105032535506806023618390899071246712836774936447377989221408786345878615056934,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558992,Will Team AM win the 2026 FIFA World Cup?,Team AM,Yes,No,86040916914507857269605207059811736324691981407025555024902462000511476766233,76131146098126828471552637113581456291047249523223872964238917671303838166693,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558993,Will Team AN win the 2026 FIFA World Cup?,Team AN,Yes,No,14203543069867412195885282783300574554675270350831553865498671736859883729328,111141748955003778213195540207821951246406288122124160457709818758152671531484,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-winner,World Cup Winner ,558994,Will Team AO win the 2026 FIFA World Cup?,Team AO,Yes,No,6248841595165561514782366563826694953383315834764501750927289530971890369258,2508228306296492947994749517968042065729708036603468124889079030422879794215,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851387,Will the final be ESP vs ENG at the 2026 FIFA World Cup?,ESP vs ENG,Yes,No,68572597199146111521345758915289443747958372073094348952231708037637511101046,3064896343340640125439892704161881550356386743586561161261227329181598191118,1187208.9432,38344.971888999986,0.05,0.01,0.53,0.52,0.010000000000000009,5089.6795,10968.349,1754.0509000000002,22213.773500000003,148677.0185,16096.542800000001,0.48,0.47,0.010000000000000009,20735.686499999996,147198.9315,14858.347199999998,4396.940500000001,9206.761,1555.4791
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851388,Will the final be ESP vs ARG at the 2026 FIFA World Cup?,ESP vs ARG,Yes,No,26722865658714832824605825712646012776779454505093583888906287248288458728183,100922071917861245950292801802363820619969733453887227629204849801978303284505,750688.126,63525.62433299998,0.05,0.01,0.47,0.46,0.009999999999999953,7330.8591,14480.2874,4093.6671,17225.2572,681793.1743999999,12823.4292,0.54,0.53,0.010000000000000009,20960.783300000003,866774.4961,15053.590800000002,8343.253700000001,15784.495400000002,4616.262900000001
world-cup-finals-exact-matchup-20260708195422328,World Cup: Finals Exact Matchup,2851394,Will the final be a different matchup at the 2026 FIFA World Cup?,Other,Yes,No,44706781300822028849783683929182336598356773883523244156906574050195659751648,108180971699463033732003841014168756147980186738873901139240576415084152664462,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849805,Will the third-place match be FRA vs ENG at the 2026 FIFA World Cup?,FRA vs ENG,Yes,No,57735398109854106880454775131407064677006203652539846485345824415147479818197,52083984727401838951869642934752055611410669564136608913518076679577837975798,153048.1035,22426.172673,0.05,0.01,0.47,0.46,0.009999999999999953,1323.7127999999998,6850.4326,115.3944,3661.9485000000004,27046.6241,972.969,0.54,0.53,0.010000000000000009,4428.7115,34191.0259,1142.181,1439.1372000000001,7191.437400000001,130.12560000000002
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849806,Will the third-place match be FRA vs ARG at the 2026 FIFA World Cup?,FRA vs ARG,Yes,No,46706520621623536409236024707056428275644457809870704477366997615826126074310,61222209097111777729120260166475525334625513116004015476383037723120372618627,133374.0469,5714.2288579999995,0.05,0.01,0.54,0.53,0.010000000000000009,8074.395800000001,122742.7958,6035.050800000001,794.0227,1970.0827,5.697500000000001,0.47,0.46,0.009999999999999953,732.7373,1862.6773,5.052499999999999,6809.524200000001,96906.1242,5140.9692000000005
world-cup-3rd-place-game-exact-matchup-20260708194423346,World Cup: 3rd Place Game Exact Matchup,2849820,Will the third-place match be a different matchup at the 2026 FIFA World Cup?,Other,Yes,No,43065534517911933639661541724669882570980400033390961366854170643154487014232,34578569221808753064936403911841700284023476230547628731062006338461652355257,0,0,0.05,0.01,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0
