fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891660,Spread: Argentina (-4.5),spreads,spread,Argentina (-4.5),Argentina,England,11208710509028131629835257433974006514475513393105115531078253558877480090228,21053106365632383072561384752323424021181523305545620264761869661264635585258,167495.43208,8003.070258000001,0.001,0.003,0.05,0.001,0.003,0.001,0.002,58.71701,58.71701,0.999,0.997,0.0020000000000000018,300.12957,300.12957
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891661,Spread: England (-5.5),spreads,spread,England (-5.5),England,Argentina,9409830600419933836979937406521505469608801868113322160646326140154383305272,107932567564955544353069236703937822038718426210749724058964162914974204253184,146261.31081,25696.408562000022,0.001,0.002,0.05,0.001,0.002,0.001,0.001,64.3141,65.9461,0.999,0.998,0.0010000000000000009,9673.546769999999,9673.546769999999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891662,Spread: Argentina (-5.5),spreads,spread,Argentina (-5.5),Argentina,England,29521955263941857895709614492179968714845714216585955794442958515803810007653,13002950257033149563348744888042900839119581569719957644373704949574079220745,165860.65051,12490.379274000012,0.001,0.003,0.05,0.001,0.003,0.001,0.002,30.62063,30.62063,0.999,0.997,0.0020000000000000018,4.995,4.995
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891663,England vs. Argentina: O/U 0.5,totals,totals,Total over 0.5,Over,Under,81181976116899441618303020508388929007094711029031483388433640289863009618793,62841982373761883089572556369893940843907698183832485787317683347197916274798,308921.6034,290694.2577529999,0.8925,0.895,0.05,0.0025,0.8925,0.89,0.0024999999999999467,118455.118,175401.677825,0.11,0.1075,0.0025000000000000022,10087.50865,11336.6789
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891664,England vs. Argentina: O/U 1.5,totals,totals,Total over 1.5,Over,Under,43118594249845733633340709977853736893797877085036848423587259771830075889516,34722693297919059848905898968884829086904243244959579825508013056668468340666,977272.01175,757426.3197079978,0.6725,0.675,0.05,0.0025,0.675,0.6725,0.0025000000000000577,373499.54065,431761.887975,0.3275,0.325,0.0025000000000000022,183181.80082499998,238353.270275
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891665,England vs. Argentina: O/U 2.5,totals,totals,Total over 2.5,Over,Under,74195920481980850339833434858532868591496382001885653367714402955122956464009,14810140581269397419567001424139048025311397173553529273395121109049362886938,1818968.651525,2721883.537861,0.3925,0.395,0.05,0.0025,0.395,0.3925,0.0025000000000000022,534229.42685,542234.00425,0.6075,0.605,0.0025000000000000577,621909.7540000001,684679.126225
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891666,England vs. Argentina: O/U 3.5,totals,totals,Total over 3.5,Over,Under,74527418458582480822261620327325996776349884696568477779653950974404498632202,105017023447190530900343787654832326956880150466448486978958536403289872840199,497878.268925,421159.1655340002,0.2125,0.215,0.05,0.0025,0.215,0.2125,0.0025000000000000022,84182.245675,88110.039775,0.7875,0.785,0.0024999999999999467,83099.463225,104237.11845
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891667,England vs. Argentina: O/U 4.5,totals,totals,Total over 4.5,Over,Under,945319595124573892303874255226449643421138945794757847949227688182013395302,74463191326945909901690373377838320218495506884741921508815977171064095462202,247734.17315,98534.062238,0.0925,0.095,0.05,0.0025,0.095,0.0925,0.0025000000000000022,2534.3445749999996,3790.2917999999995,0.9075,0.905,0.0024999999999999467,105558.338525,119040.438475
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891668,England vs. Argentina: O/U 5.5,totals,totals,Total over 5.5,Over,Under,106800539355248757429830730164553812837862655514328906875045484900326619582958,21081236028515227130772718428769042623326523205945381043688713214769598158535,309899.60875,69995.59179700002,0.036,0.037,0.05,0.001,0.039,0.038,0.0010000000000000009,541.0956600000001,1394.90977,0.962,0.961,0.0010000000000000009,71703.54043,109588.41923
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,17755645.63044,17413131.183387063,2891669,England vs. Argentina: O/U 6.5,totals,totals,Total over 6.5,Over,Under,46874391339973167664943148354190062680603689890967009267156026566462843242064,58877458282703417403492304899174726280887218375749617245154768531905536567506,317070.45672,46628.46693700005,0.01,0.011,0.05,0.001,0.014,0.013,0.0010000000000000009,123.19158,300.57558,0.987,0.986,0.0010000000000000009,26813.39315,32098.287949999998
