fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_validation_source,external_conflict_reason,decision,stake_per_10k
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941984,soccer_exact_score,France 0 - 1 England,Exact Score: France 0 - 1 England?,Yes,No,97574919734149007313064889238734975478996946020639808421026332258713303476825,60129640300285378328035174641272884046194286578104309805402712072704054571258,23055.331358,202914.58732,0.039,0.04,0.05,0.001,True,0.04,0.039,0.0010000000000000009,3502.4700000000003,5209.3071,142.28994,0.961,0.96,0.0010000000000000009,3506.17006,124143.86266,84059.28,Yes,0.091957,0.081074,0.119586,0.04,0.039,0.001,0.00192,0.050037,0.014154,0.065,0.0,5209.31,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941985,soccer_exact_score,France 1 - 0 England,Exact Score: France 1 - 0 England?,Yes,No,61614661992424492173938297562112512099804520917816987914209049210275885628462,36021325291674835501257551232202761749390705768070007003235288118635614421481,3923.742807000001,330800.3117,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,8738.5606,19763.887600000002,5197.8846,0.94,0.93,0.009999999999999898,81433.5254,147990.251,116098.0194,Yes,0.101893,0.089763,0.131366,0.07,0.06,0.01,0.003255,0.028638,-0.008492,0.065,0.0,19763.89,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941986,soccer_exact_score,France 0 - 2 England,Exact Score: France 0 - 2 England?,Yes,No,39041009424463264405833524627754921712545508890394561269865959538907058912502,110390665526164462948552804745075921946361493821417521155912655831882419110222,6365.828543,223039.1636,0.033,0.034,0.05,0.001,True,0.034,0.033,0.0010000000000000009,1897.97826,5536.31516,67.03191,0.967,0.966,0.0010000000000000009,1964.2380899999998,38177.42352,53924.911739999996,Yes,0.04536,0.042014,0.050826,0.034,0.033,0.001,0.001642,0.009718,-0.018628,0.065,0.0,5536.32,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941987,soccer_exact_score,France 1 - 1 England,Exact Score: France 1 - 1 England?,Yes,No,51695634536654818524904567840367422434925521930955943706676129558812748145248,85991163361707059478122141587385154218740046714882039099540501189991002531177,4104.500864000004,295742.7948,0.11,0.12,0.05,0.01,True,0.12,0.11,0.009999999999999995,20575.809599999997,28291.652499999997,6002.3777,0.89,0.88,0.010000000000000009,48564.6923,81783.3946,150889.27039999998,Yes,0.132623,0.12434,0.140277,0.12,0.11,0.01,0.00528,0.007343,-0.02594,0.065,0.032,28291.65,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941988,soccer_exact_score,France 2 - 0 England,Exact Score: France 2 - 0 England?,Yes,No,83738293003989061909432987812246099956283553688616457850473263255666340995863,24422286319743612424586161606143185900928449498626548494888494659350127767379,20890.495470000013,283640.5942,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,6648.0855,15913.8897,4377.5160000000005,0.94,0.93,0.009999999999999898,68581.084,134276.2193,88324.5645,No,0.94542,0.938937,0.950643,0.94,0.93,0.01,0.00282,0.0026,-0.028883,0.065,0.842,134276.22,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941989,soccer_exact_score,France 0 - 3 England,Exact Score: France 0 - 3 England?,Yes,No,43863237958662185303255747001516390892668137934134139782430242712958236796263,37325156613964674326708490905219409497036234425063978222001914062723598149570,2641.349633,207408.65678,0.015,0.016,0.05,0.001,True,0.016,0.015,0.0010000000000000009,1379.53104,2556.6186000000002,89.5926,0.985,0.984,0.0010000000000000009,5883.2474,103617.44409,84841.15896,Yes,0.018093,0.01494,0.019469,0.016,0.015,0.001,0.000787,0.001306,-0.026847,0.065,0.0,2556.62,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941990,soccer_exact_score,France 1 - 2 England,Exact Score: France 1 - 2 England?,Yes,No,47725115768942599245435543299520586635682755707864227318684625633614926636446,111967320046683721120109257616915970974897169935926251965786684117668181606776,6294.678552000001,339410.4565,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,707.3164,21211.458700000003,1181.1624,0.94,0.93,0.009999999999999898,18504.8776,43689.3347,9397.2036,Yes,0.074213,0.063371,0.077143,0.07,0.06,0.01,0.003255,0.000958,-0.034884,0.065,0.0,21211.46,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941991,soccer_exact_score,France 2 - 1 England,Exact Score: France 2 - 1 England?,Yes,No,70617876534332603001051872118464962749830433834266462871549496979917149356185,71824415369050529903604664265312348624339165546736865434786631559172922399295,36809.58091,438421.6904,0.1,0.11,0.05,0.01,True,0.11,0.1,0.009999999999999995,15573.8286,45213.908,2210.902,0.9,0.89,0.010000000000000009,19898.118000000002,48381.049,126006.43140000002,No,0.919177,0.91626,0.929754,0.9,0.89,0.01,0.0045,0.014677,-0.01324,0.065,0.818,48381.05,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941992,soccer_exact_score,France 3 - 0 England,Exact Score: France 3 - 0 England?,Yes,No,71579935885238729370531508632170367735300675638008874113954459647621456394107,111864925266071288591217886296151901343503794465466677078902429990890941550054,6481.155454000002,186179.28934,0.042,0.043,0.05,0.001,True,0.043,0.042,0.000999999999999994,2199.37088,6775.70918,195.78258,0.958,0.957,0.0010000000000000009,4465.70742,37416.866799999996,48948.78912,No,0.976983,0.974969,0.980211,0.958,0.957,0.001,0.002012,0.016972,-0.010043,0.065,0.879,37416.87,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941993,soccer_exact_score,France 1 - 3 England,Exact Score: France 1 - 3 England?,Yes,No,82683428151724578313364395635035607159364277568301998535997746533369405222616,81695283754059184552740228483256358767727532503668996582831580514490589196158,12301.284935,217008.95543,0.031,0.032,0.05,0.001,True,0.032,0.031,0.0010000000000000009,3211.23904,4738.48576,1053.0520199999999,0.969,0.968,0.0010000000000000009,32916.367979999995,81217.74806,97139.98096,No,0.97228,0.969411,0.979717,0.969,0.968,0.001,0.001502,0.001778,-0.026091,0.065,0.873,81217.75,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941994,soccer_exact_score,France 2 - 2 England,Exact Score: France 2 - 2 England?,Yes,No,6958970558174309284782223375880969055625012204063988403251481024738779408118,7397811728293736056999681087356237492491531269299601004967845780588145337370,68667.071389,376417.3471,0.07,0.08,0.05,0.01,True,0.08,0.07,0.009999999999999995,11502.7952,23885.7352,733.9192,0.93,0.92,0.010000000000000009,9750.6408,92333.7081,132282.1448,No,0.938097,0.931331,0.954723,0.93,0.92,0.01,0.003255,0.004842,-0.026924,0.065,0.834,92333.71,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941995,soccer_exact_score,France 3 - 1 England,Exact Score: France 3 - 1 England?,Yes,No,57716287394748798766806223253182132223051854128703406873399535626224142146187,21068985420988296968126799664296613266675922370351368397019455239267146952705,56310.66574299995,385216.4442,0.06,0.07,0.05,0.01,True,0.07,0.06,0.010000000000000009,5463.592400000001,26031.670400000003,4130.5116,0.94,0.93,0.009999999999999898,64711.348399999995,100970.9764,72587.72760000001,No,0.967243,0.964003,0.976966,0.94,0.93,0.01,0.00282,0.024423,-0.003817,0.065,0.868,100970.98,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941996,soccer_exact_score,France 2 - 3 England,Exact Score: France 2 - 3 England?,Yes,No,47900225213576749948704597444302726918908953028391106933373400103287761335255,12126985522496775779898513033450175928108152420587260431596891059917095347106,13511.329963,214158.63313,0.029,0.03,0.05,0.001,True,0.03,0.029,0.0009999999999999974,3355.4274,4420.6126,74.60279000000001,0.971,0.97,0.0010000000000000009,2497.9072100000003,121291.99553,108492.1526,No,0.973813,0.969903,0.984123,0.971,0.97,0.001,0.001408,0.001405,-0.027505,0.065,0.874,121292.0,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941997,soccer_exact_score,France 3 - 2 England,Exact Score: France 3 - 2 England?,Yes,No,69502084100804689355153051763208490212667904877262906299746339004132409869954,72166004559276241860499618632827389901491601078965102090191221599394120521739,13710.409999999998,346087.7655,0.04,0.05,0.05,0.01,True,0.05,0.04,0.010000000000000002,6953.5740000000005,15162.808500000001,463.36,0.96,0.95,0.010000000000000009,11120.64,78681.41459999999,132117.90600000002,No,0.97176,0.966943,0.981946,0.96,0.95,0.01,0.00192,0.00984,-0.019977,0.065,0.871,78681.41,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941998,soccer_exact_score,France 3 - 3 England,Exact Score: France 3 - 3 England?,Yes,No,45441664016374221637425717412841164229115501443222518799950103324628857482912,79717254973953441731721062821113136648595821940607197619538640718877281304397,27736.775554,212970.50462,0.02,0.021,0.05,0.001,True,0.021,0.02,0.0010000000000000009,2598.08871,3025.30121,1168.0046,0.98,0.979,0.0010000000000000009,57232.2254,250734.05094000002,121120.42129,No,0.983377,0.979057,0.99064,0.98,0.979,0.001,0.00098,0.002397,-0.026923,0.065,0.883,250734.05,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941999,soccer_exact_score,Any Other Score,Exact Score: Any Other Score?,Yes,No,77643273423189704343736039854784640042698303451885684346802301629042882281876,53921125910881474618616951274438881938303285021466303057535621782422136228777,7196.766928000002,162682.8642,0.13,0.14,0.05,0.01,True,0.14,0.13,0.010000000000000009,7256.2434,13291.7489,629.4509,0.87,0.86,0.010000000000000009,4212.4791000000005,40308.2049,44574.0666,No,0.907077,0.883394,0.946683,0.87,0.86,0.01,0.005655,0.031422,-0.017261,0.065,0.784,40308.2,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942000,soccer_first_to_score,France,France to score first vs. England?,Yes,No,56735302916010239099392370155194320325205863232630645733151226259169129115252,95263391672314592162431977061052599293576507269153256221263204964044788438733,248.721932,59549.878,0.55,0.57,0.05,0.01,True,0.57,0.56,0.009999999999999898,542.3493,1579.1144999999997,1037.3104,0.44,0.43,0.010000000000000009,815.0296,2112.3202,409.1407,No,0.527063,0.516043,0.558929,0.44,0.43,0.01,0.01232,0.074743,0.045723,0.04,0.445,2112.32,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942001,soccer_first_to_score,England,England to score first vs. France?,Yes,No,17610346931792627261599618639002865196881194394001571997005448094628240795040,90577939647849931338599586745796772026982380820389118649272944839985294328791,413.497551,58328.6822,0.37,0.4,0.05,0.01,True,0.4,0.37,0.030000000000000027,383.77600000000007,3248.5196,650.8818,0.63,0.6,0.030000000000000027,1108.2582,2269.7431,575.664,Yes,0.435977,0.403246,0.449343,0.4,0.37,0.03,0.012,0.023977,-0.026754,0.04,0.334,3248.52,Oddschecker consensus captured 2026-07-16,,WATCH,0
