minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
1,1.0,0.07923333333333334,0.07252333333333333,0.0079,0.007336666666666667,0.14303666666666667,0.14399666666666666,0.0043033333333333335,0.004346666666666667,0.027256666666666665,0.02405,0.007826666666666666,0.98491,0.0072633333333333334,0.0079,0.007336666666666667
2,1.0,0.08698,0.07897666666666667,0.008436666666666667,0.007483333333333333,0.14236333333333334,0.14340666666666665,0.004066666666666666,0.0038566666666666667,0.02906,0.026196666666666667,0.01602,0.9694666666666667,0.014513333333333333,0.016336666666666666,0.01482
3,1.0,0.08571333333333334,0.07785,0.00901,0.0082,0.14083666666666667,0.14093333333333333,0.0056366666666666666,0.005486666666666667,0.030913333333333334,0.027246666666666666,0.02456,0.95315,0.02229,0.025346666666666667,0.02302
4,1.0,0.08639333333333334,0.07989,0.009196666666666667,0.008516666666666667,0.14079,0.14063333333333333,0.006396666666666667,0.006396666666666667,0.03229666666666667,0.02842333333333333,0.03305,0.93689,0.03006,0.034543333333333336,0.031536666666666664
5,1.0,0.09300666666666667,0.08455,0.00974,0.009046666666666666,0.14008333333333334,0.14053,0.00682,0.006726666666666666,0.035883333333333337,0.03253,0.041833333333333333,0.9200033333333333,0.038163333333333334,0.044283333333333334,0.04058333333333333
6,1.0,0.09359666666666666,0.08590333333333333,0.009746666666666667,0.00868,0.13997,0.14047,0.0074466666666666665,0.00746,0.0371,0.032716666666666665,0.050293333333333336,0.90414,0.045566666666666665,0.05403,0.04926333333333333
7,1.0,0.09551333333333334,0.08645,0.01041,0.009253333333333334,0.13792666666666667,0.13748666666666667,0.008936666666666667,0.00906,0.03489,0.03117,0.05914333333333333,0.8876066666666667,0.05325,0.06444,0.05851666666666667
8,1.0,0.09799,0.0906,0.010323333333333334,0.009943333333333334,0.13837,0.13892333333333334,0.00903,0.00882,0.03646,0.03240333333333333,0.06753,0.8710766666666667,0.061393333333333334,0.07476333333333333,0.06846
9,1.0,0.09859,0.09001666666666666,0.010253333333333333,0.009816666666666666,0.13253333333333334,0.13454,0.01054,0.0104,0.037283333333333335,0.03379,0.07561666666666667,0.8551533333333333,0.06923,0.08501666666666667,0.07827666666666666
10,1.0,0.10196333333333334,0.09393,0.01131,0.010303333333333333,0.12871666666666667,0.12858666666666665,0.009956666666666667,0.01041,0.03915333333333333,0.034646666666666666,0.08424666666666666,0.83872,0.07703333333333333,0.09632666666666667,0.08858
